Name,Publisher,Total_shipped,Total_sales,Date
Tomb Raider: The Last Revelation,Eidos Interactive,4.74m,N/A,22nd Nov 99
Driver 2,Atari,N/A,4.73m,13th Nov 00
The Simpsons: Hit & Run,VU Games,N/A,4.70m,16th Sep 03
The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,4.70m,N/A,19th May 15
World of Warcraft: Cataclysm    Read the review,Blizzard Entertainment,4.70m,N/A,07th Dec 10
Tony Hawk's Pro Skater 2,Activision,N/A,4.68m,20th Sep 00
Nintendogs + cats    Read the review,Nintendo,4.68m,N/A,27th Mar 11
Gran Turismo    Read the review,Sony Computer Entertainment,4.67m,N/A,01st Oct 09
The Lord of the Rings: The Two Towers,Electronic Arts,N/A,4.67m,21st Oct 02
Tomb Raider,Eidos Interactive,N/A,4.63m,14th Nov 96
God of War,Sony Computer Entertainment,4.62m,N/A,22nd Mar 05
The Legend of Zelda: A Link to the Past,Nintendo,4.61m,N/A,13th Apr 92
Left 4 Dead,Valve Corporation,4.60m,N/A,17th Oct 08
Forza Motorsport 4    Read the review,Microsoft Studios,N/A,4.60m,11th Oct 11
Wizardry,Sirtech,4.60m,N/A,01st Sep 81
Guitar Hero III: Legends of Rock,RedOctane,N/A,4.60m,28th Oct 07
Sonic Heroes,Sega,4.58m,N/A,06th Jan 04
BioShock Infinite    Read the review,2K Games,4.56m,N/A,26th Mar 13
Mario & Luigi: Bowser's Inside Story    Read the review,Nintendo,4.56m,N/A,14th Sep 09
FIFA 15,EA Sports,N/A,4.56m,23rd Sep 14
Mario & Sonic at the Olympic Winter Games,Sega,N/A,4.54m,13th Oct 09
Overwatch,Blizzard Entertainment,N/A,4.54m,24th May 16
Madden NFL 2005,EA Sports,N/A,4.53m,09th Aug 04
Guitar Hero III: Legends of Rock,RedOctane,N/A,4.53m,28th Oct 07
Star Wars Battlefront II (2017),Electronic Arts,N/A,4.53m,17th Nov 17
Dead Island,Deep Silver,4.52m,N/A,06th Sep 11
Arma 2: Operation Arrowhead,Meridian4,4.51m,N/A,29th Jun 10
Alan Wake,Microsoft Game Studios,4.50m,N/A,18th May 10
ARK: Survival Evolved,Studio Wildcard,4.50m,N/A,02nd Jun 15
Call of Duty,Activision,4.50m,N/A,29th Oct 03
Dragon Ball Z: Kakarot,Bandai Namco Entertainment,4.50m,N/A,17th Jan 20
FIFA 08,EA Sports,4.50m,N/A,08th Oct 07
FIFA Football 2005,EA Sports,4.50m,N/A,12th Oct 04
Ghosts 'n Goblins,Capcom,4.50m,N/A,19th Sep 85
Grand Theft Auto: Vice City Stories,Rockstar Games,4.50m,N/A,31st Oct 06
LittleBigPlanet    Read the review,Sony Computer Entertainment,4.50m,N/A,28th Oct 08
Madden NFL 08,EA Sports,4.50m,N/A,14th Aug 07
Madden NFL 09,EA Sports,4.50m,N/A,12th Aug 08
Might and Magic,New World Computing,4.50m,N/A,31st Jul 90
Monster Hunter 3,Capcom,4.50m,N/A,20th Apr 10
NBA 2K13,2K Sports,4.50m,N/A,02nd Oct 12
Riven: The Sequel to Myst,Red Orb,4.50m,N/A,29th Oct 97
This War of Mine,11 bit studios,4.50m,N/A,14th Nov 14
This War of Mine,11 bit studios,4.50m,N/A,14th Nov 14
Warcraft III: Reign of Chaos,Blizzard Entertainment,4.50m,N/A,03rd Jul 02
You Don't Know Jack,Berkeley Systems,4.50m,N/A,01st Jan 95
Professor Layton and the Curious Village,Nintendo,4.49m,N/A,10th Feb 08
Spider-Man: The Movie,Activision,N/A,4.48m,15th Apr 02
The Elder Scrolls IV: Oblivion    Read the review,Take-Two Interactive,N/A,4.47m,07th Jul 09
The Legend of Zelda: The Wind Waker,Nintendo,4.43m,N/A,26th Mar 03
Tony Hawk's Pro Skater 3,Activision,N/A,4.41m,28th Oct 01
Dino Crisis,Capcom,4.40m,N/A,31st Aug 99
Winning Eleven: Pro Evolution Soccer 2007,Konami,N/A,4.39m,06th Feb 07
Zelda II: The Adventure of Link,Nintendo,4.38m,N/A,01st Sep 88
Michael Jackson: The Experience,Ubisoft,N/A,4.37m,23rd Nov 10
Tom Clancy's The Division,Ubisoft,N/A,4.37m,08th Mar 16
Need for Speed: Most Wanted,Electronic Arts,N/A,4.37m,15th Nov 05
Tom Clancy's Rainbow Six: Siege,Ubisoft,N/A,4.36m,01st Dec 15
Call of Duty: Advanced Warfare,Activision,N/A,4.34m,04th Nov 14
Watch Dogs    Read the review,Ubisoft,N/A,4.32m,27th May 14
Animal Crossing: City Folk    Read the review,Nintendo,4.32m,N/A,16th Nov 08
Starbound,"Infocom, Inc.",4.31m,N/A,01st Jan 14
Asteroids,Atari,N/A,4.31m,01st Jan 81
Batman: Arkham Asylum,Warner Bros. Interactive Entertainment,4.30m,N/A,25th Aug 09
Dragon Quest VII,Enix,4.30m,N/A,01st Nov 01
Monster Hunter Generations,Capcom,4.30m,N/A,15th Jul 16
Batman: Arkham Asylum    Read the review,Eidos Interactive,N/A,4.28m,25th Aug 09
Mario Tennis Aces    Read the review,Nintendo,4.28m,N/A,22nd Jun 18
Call of Duty: Advanced Warfare,Activision,N/A,4.27m,04th Nov 14
God of War II,Sony Computer Entertainment,4.24m,N/A,13th Mar 07
The Legend of Zelda: A Link Between Worlds    Read the review,Nintendo,4.24m,N/A,22nd Nov 13
Namco Museum,Namco,N/A,4.24m,10th Jun 01
Super Paper Mario,Nintendo,4.23m,N/A,09th Apr 07
Assassin's Creed: Revelations    Read the review,Ubisoft,N/A,4.23m,15th Nov 11
Assassin's Creed: Revelations,Ubisoft,N/A,4.22m,15th Nov 11
Clubhouse Games: 51 Worldwide Classics    Read the review,Nintendo,4.22m,N/A,05th Jun 20
FIFA Soccer 06,EA Sports,N/A,4.21m,04th Oct 05
Counter-Strike,Sierra Studios,4.20m,N/A,08th Nov 00
Dead Rising 3,Microsoft Studios,4.20m,N/A,22nd Nov 13
Monster Hunter 4 Ultimate,Capcom,4.20m,N/A,13th Feb 15
Perfect Dark,Rare,4.20m,N/A,22nd May 00
Street Fighter IV    Read the review,Capcom,N/A,4.19m,17th Feb 09
7 Days to Die,The Fun Pimps,4.18m,N/A,13th Dec 13
FIFA Soccer 12,EA Sports,N/A,4.18m,27th Sep 11
Call of Duty: Ghosts    Read the review,Activision,N/A,4.17m,15th Nov 13
Teenage Mutant Ninja Turtles,Ultra Games,N/A,4.17m,01st Jun 89
Just Cause 2    Read the review,Eidos Interactive,4.16m,N/A,23rd Mar 10
Excitebike,Nintendo,4.16m,N/A,18th Oct 85
Tennis,Nintendo,4.16m,N/A,18th Oct 85
Frogger,Hasbro Interactive,N/A,4.16m,30th Sep 97
Star Wars Battlefront (2015),Electronic Arts,N/A,4.15m,17th Nov 15
FIFA 14,EA Sports,N/A,4.15m,24th Sep 13
Madden NFL 2003,EA Sports,N/A,4.14m,12th Aug 02
Assassin's Creed: Unity,Ubisoft,N/A,4.14m,11th Nov 14
Destiny 2,Activision,N/A,4.14m,06th Sep 17
Bayonetta,Sega,4.13m,N/A,05th Jan 10
Donkey Kong Country: Tropical Freeze    Read the review,Nintendo,4.12m,N/A,04th May 18
Shadow of the Tomb Raider,Square Enix,4.12m,N/A,14th Sep 18
Super Mario World 2: Yoshi's Island,Nintendo,4.12m,N/A,04th Oct 95
Batman: Arkham Knight,Warner Bros. Interactive,N/A,4.11m,23rd Jun 15
FIFA 07 Soccer,EA Sports,N/A,4.11m,03rd Oct 06
The Sims 4    Read the review,Electronic Arts,N/A,4.10m,02nd Sep 14
Monster Hunter 4,Capcom,4.10m,N/A,14th Sep 13
Sakura Wars,Sega,4.10m,N/A,30th Mar 10
Sengoku BASARA,Capcom,4.10m,N/A,12th Oct 05
Street Fighter II Turbo,Capcom,4.10m,N/A,01st Aug 93
Dragon Ball: Xenoverse 2,Namco Bandai Games,4.09m,N/A,25th Oct 16
Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,4.09m,N/A,31st Oct 97
Fallout: New Vegas    Read the review,Bethesda Softworks,N/A,4.08m,19th Oct 10
Assassin's Creed Origins,Ubisoft,N/A,4.06m,27th Oct 17
Far Cry 4,Ubisoft,N/A,4.06m,18th Nov 14
Carnival Games,Global Star Software,N/A,4.06m,28th Aug 07
World Soccer Winning Eleven 9,Konami,N/A,4.06m,07th Feb 06
Forza Motorsport 2,Microsoft Game Studios,N/A,4.05m,29th May 07
Namco Museum Vol.3,Namco,N/A,4.05m,31st Jan 97
Tekken Tag Tournament,Namco,N/A,4.05m,25th Oct 00
Super Mario Maker,Nintendo,4.02m,N/A,11th Sep 15
Golf,Nintendo,4.01m,N/A,18th Oct 85
DmC: Devil May Cry,Capcom,4.00m,N/A,15th Jan 13
Ace Combat 7: Skies Unknown,Bandai Namco Entertainment,4.00m,N/A,18th Jan 19
BioShock,2K Games,4.00m,N/A,21st Aug 07
Company of Heroes,THQ,4.00m,N/A,12th Sep 06
DayZ,Bohemia Interactive,4.00m,N/A,09th Jul 12
Dead Space 2,Electronic Arts,4.00m,N/A,25th Jan 11
Diablo II,Blizzard Entertainment,4.00m,N/A,29th Jun 00
Disney's Aladdin,Sega,4.00m,N/A,11th Nov 93
Driver,GT Interactive,4.00m,N/A,30th Jun 99
EyeToy Play,Sony Computer Entertainment,4.00m,N/A,04th Nov 03
Far Cry Primal,Ubisoft,4.00m,N/A,23rd Feb 16
Frogger,Parker Bros.,4.00m,N/A,01st Jan 82
God Eater,Bandai Namco Entertainment,4.00m,N/A,15th Mar 11
Hyrule Warriors: Age of Calamity    Read the review,Nintendo,4.00m,N/A,20th Nov 20
Just Dance 2015,Ubisoft,4.00m,N/A,21st Oct 14
Lego Jurassic World,Warner Bros. Interactive Entertainment,4.00m,N/A,12th Jun 15
Little Nightmares,Bandai Namco Entertainment,4.00m,N/A,28th Apr 17
Madden NFL 10,EA Sports,4.00m,N/A,13th Aug 09
Madden NFL 2005,EA Sports,4.00m,N/A,09th Aug 04
Max Payne,Gathering of Developers,4.00m,N/A,23rd Jul 01
Max Payne 3,Rockstar Games,4.00m,N/A,15th May 12
Monster Hunter: World,Capcom,4.00m,N/A,26th Jan 18
Monster Rancher,Tecmo,4.00m,N/A,30th Nov 97
NBA 2K12,2K Sports,4.00m,N/A,04th Oct 11
Need for Speed Rivals,Electronic Arts,4.00m,N/A,15th Nov 13
Need for Speed: Shift,Electronic Arts,4.00m,N/A,15th Sep 09
Pitfall!,Activision,4.00m,N/A,20th Apr 82
Ratatouille,THQ,4.00m,N/A,26th Jun 07
Resident Evil 4 (2023),Capcom,4.00m,N/A,24th Mar 23
Risk of Rain,Chucklefish,4.00m,N/A,08th Nov 13
Rock Band,MTV Games,4.00m,N/A,20th Nov 07
Rocksmith,Ubisoft,4.00m,N/A,18th Oct 11
S.T.A.L.K.E.R.,THQ,4.00m,N/A,20th Mar 07
Sonic Colors,Sega,4.00m,N/A,16th Nov 10
Star Fox 64,Nintendo,4.00m,N/A,01st Jul 97
Star Wars: Battlefront,LucasArts,4.00m,N/A,21st Sep 04
Super Mario Run,Nintendo,4.00m,N/A,15th Dec 16
Teenage Mutant Ninja Turtles,Ultra Games,4.00m,N/A,25th Jun 89
The Elder Scrolls III: Morrowind,Bethesda Softworks,4.00m,N/A,01st May 02
The Lord of the Rings: The Two Towers,Electronic Arts,4.00m,N/A,21st Oct 02
The Outer Worlds,Private Division,4.00m,N/A,25th Oct 19
The Outer Worlds,Private Division,4.00m,N/A,25th Oct 19
The Simpsons Game,Electronic Arts,4.00m,N/A,30th Oct 07
Turok,Acclaim Entertainment,4.00m,N/A,04th Mar 97
"Warhammer 40,000: Dawn of War",THQ,4.00m,N/A,20th Sep 04
Who Wants to be a Millionaire,Disney Interactive Studios,4.00m,N/A,23rd Nov 99
World of Warcraft: Wrath of the Lich King,Blizzard Entertainment,4.00m,N/A,13th Nov 08
WWE SmackDown vs. Raw 2009,THQ,4.00m,N/A,09th Nov 08
Zombie Army,Rebellion Developments,4.00m,N/A,28th Feb 13
Zoo Tycoon,Microsoft,4.00m,N/A,18th Oct 01
Fallout 3    Read the review,Bethesda Softworks,N/A,4.00m,28th Oct 08
The Legend of Zelda: Oracle of Ages / Seasons,Nintendo,3.99m,N/A,13th May 01
The Elder Scrolls V: Skyrim    Read the review,Bethesda Softworks,N/A,3.99m,11th Nov 11
Namco Museum: 50th Anniversary,Namco,N/A,3.98m,30th Aug 05
Kirby Star Allies    Read the review,Nintendo,3.98m,N/A,16th Mar 18
NBA 2K16,2K Sports,N/A,3.98m,29th Sep 15
Divinity,CDV Software Entertainment,3.98m,N/A,22nd Sep 02
Far Cry 5,Ubisoft,N/A,3.95m,27th Mar 18
Battlefield 4,Electronic Arts,N/A,3.94m,15th Nov 13
Assassin's Creed IV: Black Flag    Read the review,Ubisoft,N/A,3.94m,29th Oct 13
Naruto Shippuden: Ultimate Ninja Storm 4,Namco Bandai Games,3.94m,N/A,09th Feb 16
Dark Souls II,Bandai Namco Games,3.92m,N/A,11th Mar 14
Half-Life 2: Episode One,Electronic Arts,3.92m,N/A,01st Jun 06
Donkey Kong Land,Nintendo,3.91m,N/A,26th Jul 95
English Training: Have Fun Improving Your Skills!,Nintendo,3.91m,N/A,27th Oct 06
The Legend of Zelda: Skyward Sword HD    Read the review,Nintendo,3.91m,N/A,16th Jul 21
Dragon Quest III,Enix,3.90m,N/A,01st Mar 92
Tony Hawk's Underground,Activision,N/A,3.90m,27th Oct 03
Just Dance 2014,Ubisoft,N/A,3.89m,08th Oct 13
Professor Layton and the Diabolical Box    Read the review,Nintendo,3.88m,N/A,24th Aug 09
Sports Champions    Read the review,Sony Computer Entertainment,N/A,3.88m,17th Sep 10
Final Fantasy III,Square,3.86m,N/A,27th Apr 90
World Soccer Winning Eleven 8 International,Konami,N/A,3.85m,01st Feb 05
Namco Museum Vol.1,Namco,N/A,3.84m,31st Jul 96
Cyberpunk 2077    Read the review,CD Projekt Red Studio,3.84m,N/A,19th Nov 20
The Legend of Zelda: Link's Awakening,Nintendo,3.83m,N/A,01st Aug 93
Resident Evil VII: Biohazard    Read the review,Capcom,3.83m,N/A,24th Jan 17
Fire Emblem: Three Houses    Read the review,Nintendo,3.82m,N/A,26th Jul 19
Final Fantasy VI,Square,3.81m,N/A,02nd Apr 94
Homefront,THQ,3.80m,N/A,15th Mar 11
Monster Hunter Freedom Unite,Capcom,3.80m,N/A,23rd Jun 09
Okami,Capcom,3.80m,N/A,19th Sep 06
Dragon Ball FighterZ    Read the review,Namco Bandai Games,3.79m,N/A,26th Jan 18
Super Mario Maker,Nintendo,3.79m,N/A,02nd Dec 16
Gran Turismo Sport,Sony Interactive Entertainment,N/A,3.77m,17th Oct 17
LEGO Indiana Jones: The Original Adventures,LucasArts,N/A,3.76m,03rd Jun 08
The Sims: Unleashed,Electronic Arts,N/A,3.76m,23rd Sep 02
Tomodachi Collection,Nintendo,3.76m,N/A,18th Jun 09
Ratchet & Clank: Size Matters,Sony Computer Entertainment,N/A,3.75m,13th Feb 07
Pokémon Trading Card Game,Nintendo,3.72m,N/A,10th Apr 00
Ratchet & Clank,Sony Computer Entertainment,3.71m,N/A,07th Nov 02
FIFA 17,Electronic Arts,N/A,3.71m,27th Sep 16
Hitman 2: Silent Assassin,Eidos Interactive,3.71m,N/A,01st Oct 02
FIFA Soccer 2005,EA Sports,N/A,3.70m,12th Oct 04
Diablo III: Reaper of Souls,Blizzard Entertainment,3.70m,N/A,25th Mar 14
World of Warcraft: Shadowlands,Blizzard Entertainment,3.70m,N/A,24th Oct 20
The Legend of Zelda: Skyward Sword    Read the review,Nintendo,3.67m,N/A,20th Nov 11
Tony Hawk's Pro Skater 4,Activision,N/A,3.67m,23rd Oct 02
Midnight Club 3: DUB Edition,Rockstar Games,N/A,3.66m,27th Jun 05
MySims,Electronic Arts,N/A,3.66m,18th Sep 07
Dark Souls III,Namco Bandai Games,3.66m,N/A,12th Apr 16
Banjo-Kazooie,Nintendo,3.65m,N/A,31st May 98
SOCOM: U.S. Navy SEALs,Sony Computer Entertainment,N/A,3.65m,27th Aug 02
Battlefield 4    Read the review,Electronic Arts,N/A,3.64m,29th Oct 13
Jak and Daxter: The Precursor Legacy,Sony Computer Entertainment,N/A,3.64m,04th Dec 01
1-2-Switch,Nintendo,3.63m,N/A,03rd Mar 17
Pokémon Snap,Nintendo,3.63m,N/A,30th Jun 99
Pro Evolution Soccer 2008,Konami,N/A,3.63m,11th Mar 08
FIFA Soccer 10    Read the review,EA Sports,N/A,3.63m,20th Oct 09
Guitar Hero: World Tour,Activision,N/A,3.62m,26th Oct 08
Star Wars Battlefront,LucasArts,N/A,3.61m,20th Sep 04
Doom II,GT Interactive,N/A,3.61m,30th Sep 94
The Simpsons: Road Rage,Electronic Arts,N/A,3.61m,24th Nov 01
BattleBlock Theater,The Behemoth,3.61m,N/A,15th May 14
Army of Two,Electronic Arts,3.60m,N/A,06th Mar 08
Guitar Hero: Aerosmith,Activision,3.60m,N/A,29th Jun 08
Hitman: Absolution,Square Enix,3.60m,N/A,20th Nov 12
Metal Gear Solid 3: Snake Eater,Konami,3.60m,N/A,17th Nov 04
Persona 5 Royal,Sega,3.60m,N/A,31st Mar 20
Assassin's Creed Syndicate,Ubisoft,N/A,3.60m,23rd Oct 15
Star Wars Battlefront II,LucasArts,N/A,3.59m,01st Nov 05
Assassin's Creed: Unity,Ubisoft,N/A,3.58m,11th Nov 14
Cooking Mama 2: Dinner With Friends,Majesco,N/A,3.58m,13th Nov 07
Undertale,Toby Fox,3.58m,N/A,15th Sep 15
WWF SmackDown!,THQ,N/A,3.58m,01st Mar 00
Battlefield 4,Electronic Arts,N/A,3.54m,29th Oct 13
Grand Theft Auto: Liberty City Stories,Rockstar Games,N/A,3.54m,06th Jun 06
The Getaway,Sony Computer Entertainment,N/A,3.54m,19th Jan 03
Tomb Raider III: Adventures of Lara Croft,Eidos Interactive,N/A,3.54m,21st Nov 98
Batman: Arkham Asylum    Read the review,Eidos Interactive,N/A,3.54m,25th Aug 09
Assassin's Creed: Brotherhood,Ubisoft,N/A,3.53m,16th Nov 10
James Bond 007: Agent Under Fire,Electronic Arts,N/A,3.53m,13th Nov 01
Jump Force,Bandai Namco Entertainment,3.53m,N/A,15th Feb 19
LEGO Star Wars: The Video Game,Eidos Interactive,N/A,3.53m,02nd Apr 05
Resident Evil 5    Read the review,Capcom,N/A,3.53m,13th Mar 09
Rugrats in Paris: The Movie,THQ,N/A,3.52m,29th Oct 00
NBA 2K17,2K Sports,N/A,3.52m,16th Sep 16
FIFA Soccer 11,EA Sports,N/A,3.52m,28th Sep 10
Animal Crossing: Happy Home Designer,Nintendo,3.51m,N/A,25th Sep 15
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Nintendo,3.51m,N/A,22nd Nov 96
A Way Out,Electronic Arts,3.50m,N/A,23rd Mar 18
A Way Out,Electronic Arts,3.50m,N/A,23rd Mar 18
Captain Toad: Treasure Tracker,Nintendo,3.50m,N/A,05th Dec 14
Doom,id Software,3.50m,N/A,10th Dec 93
Doom 3,Activision,3.50m,N/A,03rd Aug 04
Drawn to Life,THQ,3.50m,N/A,10th Sep 07
Duke Nukem 3D,FormGen,3.50m,N/A,29th Jan 96
Elite Dangerous,Frontier Developments,3.50m,N/A,16th Dec 14
Fable II    Read the review,Microsoft Game Studios,3.50m,N/A,21st Oct 08
Grand Theft Auto,ASC Games,3.50m,N/A,24th Mar 98
Kung Fu,Nintendo,3.50m,N/A,01st Oct 85
Legacy of Kain,Crystal Dynamics,3.50m,N/A,01st Nov 96
Mario Tennis,Nintendo,3.50m,N/A,28th Aug 00
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",Konami,3.50m,N/A,19th Nov 20
Mortal Kombat: Deadly Alliance,Midway Games,3.50m,N/A,16th Nov 02
Nioh,Koei Tecmo,3.50m,N/A,09th Feb 17
Resident Evil 3: Nemesis,Capcom,3.50m,N/A,11th Nov 99
UFC 2009 Undisputed,THQ,3.50m,N/A,19th May 09
World of Warcraft: The Burning Crusade,Blizzard Entertainment,3.50m,N/A,16th Jan 07
WWE SmackDown vs. Raw 2010,THQ,3.50m,N/A,20th Oct 09
WWE SmackDown vs. Raw 2011,THQ,3.50m,N/A,06th Oct 10
Final Fantasy IV,Square,3.50m,N/A,19th Jul 91
Monument Valley 2,Ustwo Games,3.50m,N/A,05th Jun 17
FIFA Soccer 2004,EA Sports,N/A,3.49m,04th Nov 03
Pokémon Mystery Dungeon: Blue Rescue Team,Nintendo,3.49m,N/A,18th Sep 06
Mortal Kombat X    Read the review,Warner Bros. Interactive Entertainment,N/A,3.49m,14th Apr 15
Battlefield: Bad Company 2,Electronic Arts,N/A,3.48m,02nd Mar 10
Darksiders,THQ,3.48m,N/A,05th Jan 10
Borderlands    Read the review,2K Games,N/A,3.48m,20th Oct 09
Mario & Sonic at the Olympic Winter Games,Sega,N/A,3.47m,13th Oct 09
Dying Light,Warner Bros. Interactive Entertainment,3.47m,N/A,06th Feb 16
Guitar Hero: On Tour,Activision,N/A,3.46m,22nd Jun 08
Dragon Ball Z: Budokai,Atari,3.46m,N/A,03rd Dec 02
Spyro 2: Ripto's Rage!,Sony Computer Entertainment,3.45m,N/A,31st Oct 99
Halo: The Master Chief Collection    Read the review,Microsoft Studios,N/A,3.44m,11th Nov 14
Star Ocean,Enix,3.44m,N/A,19th Jul 96
LEGO Batman: The Videogame    Read the review,Warner Bros. Interactive,N/A,3.44m,23rd Sep 08
Tekken 4,Namco,N/A,3.44m,23rd Sep 02
FIFA 14,EA Sports,N/A,3.43m,15th Nov 13
The Legend of Zelda: Majora's Mask 3D    Read the review,Nintendo,3.43m,N/A,13th Feb 15
LittleBigPlanet 2    Read the review,Sony Computer Entertainment,N/A,3.43m,18th Jan 11
Grand Theft Auto 2,Rockstar Games,N/A,3.42m,25th Oct 99
Destiny,Activision,N/A,3.41m,09th Sep 14
Spider-Man 2,Activision,N/A,3.41m,28th Jun 04
F-1 Race,Nintendo,3.41m,N/A,01st Feb 91
Lego Batman 2: DC Super Heroes,Warner Bros. Interactive Entertainment,3.40m,N/A,19th Jun 12
Lego Star Wars: The Complete Saga,LucasArts,3.40m,N/A,09th Nov 07
Saints Row 2,THQ,3.40m,N/A,14th Oct 08
SimCity 2000,Maxis,3.40m,N/A,01st Jan 93
World of Warcraft: Battle for Azeroth,Blizzard Entertainment,3.40m,N/A,14th Aug 18
FIFA Soccer 2003,EA Sports,N/A,3.40m,14th Nov 02
Spintires,IMGN PRO,3.39m,N/A,13th Jun 14
Crash Bash,Sony Computer Entertainment,N/A,3.39m,06th Nov 00
Gears of War 4,Microsoft Studios,N/A,3.38m,11th Oct 16
Mario Baseball,Nintendo,3.37m,N/A,29th Aug 05
Tekken: Dark Resurrection    Read the review,Namco Bandai,3.37m,N/A,25th Jul 06
The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,N/A,3.36m,28th Oct 16
Watch Dogs 2,Ubisoft,N/A,3.36m,15th Nov 16
The Legend of Zelda: Majora's Mask,Nintendo,3.36m,N/A,25th Oct 00
WWF War Zone,Acclaim Entertainment,N/A,3.36m,14th Jul 98
Yoshi's Island DS,Nintendo,3.36m,N/A,13th Nov 06
Final Fantasy XIII-2,Square Enix,3.34m,N/A,31st Jan 12
Assassin's Creed IV: Black Flag,Ubisoft,N/A,3.34m,29th Oct 13
NBA 2K18,2K Sports,N/A,3.34m,19th Sep 17
Big Brain Academy: Wii Degree,Nintendo,3.34m,N/A,11th Jun 07
Paper Mario: The Origami King    Read the review,Nintendo,3.34m,N/A,17th Jul 20
Luigi's Mansion,Nintendo,3.33m,N/A,17th Nov 01
James Bond 007: Nightfire,Electronic Arts,N/A,3.33m,18th Nov 02
Star Wars Episode III: Revenge of the Sith,LucasArts,N/A,3.32m,04th May 05
Max Payne,Rockstar Games,N/A,3.31m,06th Dec 01
Madden NFL 16,EA Sports,N/A,3.30m,25th Aug 15
Breath of Fire,Capcom,3.30m,N/A,10th Aug 94
Commandos,Eidos Interactive,3.30m,N/A,28th Aug 98
World of Warcraft: Legion,Blizzard Entertainment,3.30m,N/A,29th Aug 16
World of Warcraft: Warlords of Draenor,Activision Blizzard,3.30m,N/A,13th Nov 14
Dark Souls III,Namco Bandai Games,3.29m,N/A,11th Apr 16
Dark Souls: Prepare to Die Edition,Namco Bandai Games,3.29m,N/A,24th Aug 12
The Lord of the Rings: The Return of the King,Electronic Arts,N/A,3.28m,05th Nov 03
Spyro: Year of the Dragon,Sony Computer Entertainment,3.28m,N/A,23rd Oct 00
Half-Life 2: Episode Two,Valve Software,3.28m,N/A,10th Oct 07
The Room Two,Fireproof Games,3.28m,N/A,12th Dec 13
Madden NFL 17,EA Sports,N/A,3.28m,23rd Aug 16
True Crime: Streets of LA,Activision,N/A,3.27m,03rd Nov 03
Gran Turismo (PSP),Sony Computer Entertainment,N/A,3.27m,01st Oct 09
Far Cry 3,Ubisoft,N/A,3.27m,04th Dec 12
God of War: Chains of Olympus    Read the review,Sony Computer Entertainment,3.26m,N/A,04th Mar 08
FIFA 16,EA Sports,N/A,3.25m,22nd Sep 15
Flash Focus: Vision Training in Minutes a Day,Nintendo,3.23m,N/A,15th Oct 07
Ratchet & Clank: Up Your Arsenal,Sony Computer Entertainment,3.22m,N/A,03rd Nov 04
007: Tomorrow Never Dies,Electronic Arts,N/A,3.21m,16th Nov 99
L.A. Noire,Rockstar Games,N/A,3.21m,15th Nov 11
Alan Wake,Microsoft Game Studios,3.20m,N/A,18th May 10
Baseball,Nintendo,3.20m,N/A,01st Oct 85
Dead Rising 3    Read the review,Microsoft Studios,3.20m,N/A,22nd Nov 13
Dragon Age: Origins,Electronic Arts,3.20m,N/A,03rd Nov 09
Dragon Quest IV,Enix,3.20m,N/A,01st Oct 92
Dragon Quest VI: Maboroshi no Daichi,Enix,3.20m,N/A,09th Dec 95
Final Fight,Capcom,3.20m,N/A,01st Dec 89
Killer Instinct,Nintendo,3.20m,N/A,01st Aug 95
Lego Star Wars: The Skywalker Saga,Warner Bros. Interactive Entertainment,3.20m,N/A,05th Apr 22
Perfect Dark,Rare,3.20m,N/A,22nd May 00
Star Wars: Knights of the Old Republic,LucasArts,3.20m,N/A,15th Jul 03
WWF SmackDown! 2: Know Your Role,THQ,N/A,3.20m,21st Nov 00
Assassin's Creed IV: Black Flag,Ubisoft,N/A,3.19m,15th Nov 13
Front Mission,Square,3.18m,N/A,29th Feb 00
Personal Trainer: Cooking,Nintendo,3.18m,N/A,24th Nov 08
SimCity,Maxis,3.18m,N/A,02nd Feb 89
Enter the Matrix,Atari,N/A,3.18m,14th May 03
Assassin's Creed Odyssey,Ubisoft,N/A,3.18m,05th Oct 18
Fallout: New Vegas,Bethesda Softworks,N/A,3.17m,19th Oct 10
Sonic Heroes,Sega,3.16m,N/A,27th Jan 04
Club Penguin: Elite Penguin Force,Disney Interactive Studios,N/A,3.14m,25th Nov 08
FIFA Soccer 08,EA Sports,N/A,3.14m,09th Oct 07
FIFA 18,EA Sports,N/A,3.14m,29th Sep 17
Spider-Man,Activision,N/A,3.13m,30th Aug 00
Need for Speed III: Hot Pursuit,Electronic Arts,N/A,3.12m,25th Mar 98
The Elder Scrolls IV: Oblivion    Read the review,Bethesda Softworks,N/A,3.12m,20th Mar 07
Kid Icarus,Nintendo,3.12m,N/A,01st Jul 87
Star Wars Episode I Racer,LucasArts,3.12m,N/A,19th May 99
Tekken 6,Namco Bandai,3.12m,N/A,27th Oct 09
Yoshi,Nintendo,3.12m,N/A,01st Jul 92
Resident Evil 6    Read the review,Capcom,N/A,3.12m,02nd Oct 12
Tom Clancy's Ghost Recon Wildlands,Ubisoft,N/A,3.12m,07th Mar 17
NBA 2K13,2K Sports,N/A,3.11m,02nd Oct 12
Titanfall,Electronic Arts,N/A,3.11m,11th Mar 14
