Name,Platform,Publisher,Global Sales,Date de sortie 
ESPN NBA 2Night 2002,All,Konami,,2002.0
The Raven Remastered,Playstation,THQ Nordic,,2018.0
Wangan Midnight,Playstation,Genki,,2007.0
World in Conflict,PC,Sierra Entertainment,,2007.0
Cabela's Dangerous Hunts 2,Playstation,Activision,,2005.0
Fritz Chess,Nintendo,Deep Silver,,2009.0
Kekkaishi: Kokubourou no Kage,Playstation,Namco Bandai,,2007.0
"Crouching Tiger, Hidden Dragon",Wii,Ubisoft,,2005.0
Shifting World,,Aksys Games,,2012.0
Suzumiya Haruhi no Tsuisou,Playstation,Namco Bandai,,2011.0
Trap Gunner: Countdown to Oblivion,Playstation,Atlus,,1998.0
Great Edo Blacksmith,DS,Nippon Ichi Software,,2014.0
Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,DS,D3 Publisher,,2006.0
A Mind Forever Voyaging,Playstation,Infocom,0.03,1985.0
Harukanaru Toki no Naka de Yumenoukihashi Special,Playstation,KOEI,,2009.0
Lego City Undercover: The Chase Begins,PC,Nintendo,,2013.0
Onrush,DS,Deep Silver,,2018.0
Sabre Wulf,Xbox,THQ,,2004.0
The Cursed Crusade,Playstation,Atlus,,2011.0
Tsuyo Kiss: Mighty Heart,GB,Princess Soft,,2006.0
Gacharoku,PC,Sony Computer Entertainment,,2002.0
Cake Mania: Baker's Challenge,Playstation,Destineer,,2008.0
SX Superstar,Nintendo,Acclaim Entertainment,,2003.0
Salt and Sanctuary,Playstation,Leadman Games,,2018.0
Zoo Vet: Endangered Animals,NS,Legacy Interactive,,2008.0
Driven,DS,BAM! Entertainment,,2001.0
Steins;Gate 0,GB,5pb,,2015.0
Red Faction II,Playstation,THQ,,2003.0
Akiba's Beat,Nintendo,Xseed Games,,2017.0
Rapala Tournament Fishing!,Playstation,Activision,,2006.0
Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,Xbox,Hudson Soft,,2011.0
SD Gundam G Generation: Gather Beat 2,Autre,Bandai,,2001.0
Battle Engine Aquila,DS,Atari,,2003.0
SuperCar Challenge,Playstation,System 3 Arcade Software,,2009.0
Gothic Universe,Playstation,DreamCatcher Interactive,,2007.0
SBK 2011: FIM Superbike World Championship,PC,Black Bean Games,,2011.0
Special Forces: Nemesis Strike,Xbox,Hip Interactive,,2005.0
Swords,PC,Majesco,,2010.0
Women's Volleyball Championship,Playstation,Agetec,,2008.0
Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,Konami,,2007.0
Rakushou! Pachi-Slot Sengen 5: Rio Paradise,Wii,Tecmo,,2007.0
Star Wars Jedi Knight: Jedi Academy,Playstation,LucasArts,,2003.0
Parfait,PC,TGL,,2015.0
Uppers,Playstation,Marvelous Entertainment,,2016.0
Death Mark,Playstation,Aksys Games,,2018.0
Labyrinth of Refrain: Coven of Dusk,Playstation,Nippon Ichi Software,,2016.0
Battle Assault 3 featuring Gundam Seed,Playstation,Bandai,,2004.0
Crimson Tears,Playstation,Capcom,,2004.0
Tomb Raider: Anniversary,Playstation,Eidos Interactive,,2007.0
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,PC,Konami,,2008.0
Rugby 15,DS,Bigben Interactive,,2015.0
Attack on Titan 2,Playstation,Koei Tecmo,,2018.0
DarkStar One,PC,CDV Software Entertainment,,2006.0
Batman Forever: The Arcade Game,Playstation,Acclaim Entertainment,,1996.0
Rise of Nations: Rise of Legends,Playstation,Microsoft Game Studios,,2006.0
Romance of the Three Kingdoms V,PC,Tecmo Koei,,2013.0
Code of  Princess EX    Read the review,DS,Nicalis,,2018.0
Cabela's Outdoor Adventures,NS,Activision,,2005.0
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,Nintendo,Nippon Ichi Software,,2011.0
Backyard NFL Football 2006,Playstation,Atari,,2005.0
King Arthur II: The Role-playing Wargame,GB,Paradox Interactive,,2012.0
Mashiro Iro Symphony: *mutsu-no-hana,PC,Comfort,,2011.0
Mortal Kombat II (JP sales),Autre,Acclaim Entertainment,,1994.0
Monster Guardians,Playstation,Konami,,2001.0
An American Tail: Fievel's Gold Rush,GB,Crave Entertainment,,2003.0
Sunday vs Magazine Shuuketsu! Choujou Daikessen,GB,Konami,,2009.0
Diabolik Lovers: More Blood,Playstation,Idea Factory,,2013.0
Magna Carta Portable,Playstation,Banpresto,,2006.0
Crazy Chicken: Star Karts,Playstation,Mumbo Jumbo,,2009.0
Shining Stars,DS,"Destination Software, Inc",,2008.0
The Italian Job,DS,Eidos Interactive,,2003.0
Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita,Nintendo,Nippon Ichi Software,,2007.0
Super Dodgeball Brawlers (jp sales),Playstation,Aksys Games,,2008.0
M&Ms Shell Shocked,DS,Berkeley,,2001.0
K-On! After School Live!! HD Ver.,Playstation,Sega,,2012.0
Metal Gear Solid: The Essential Collection (JP sales),Playstation,Konami,,2008.0
Harukanaru Toki no Naka de 6,Playstation,Tecmo Koei,,2015.0
Hello Kitty: Roller Rescue,Playstation,Empire Interactive,,2005.0
Doodle Hex,PC,Unknown,,2020.0
3D Baseball,DS,Mindscape,,1996.0
Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,Playstation,Hackberry,,2007.0
First Queen: Ornic Senki,Playstation,Culture Brain,,1994.0
Dream C Club Zero,Nintendo,D3 Publisher,,2011.0
Tail Concerto,Xbox,Atlus,,1999.0
Emma at the Farm,Playstation,Aspyr,,2008.0
Aqua Moto Racing Utopia,DS,Big Ben Interactive,,2018.0
The Sum of All Fears,Nintendo,Ubisoft,,2003.0
James Pond: Codename Robocod,NS,Valcon Games,,2005.0
Sayonara Umihara Kawase,GB,Natsume,,2014.0
Raiden V,DS,UFO Interactive,,2017.0
Final Fantasy XIV: Heavensward,Playstation,Square Enix,,2015.0
Night Head: The Labyrinth,Playstation,Fuji,,1995.0
Alpha Protocol,PC,Sega,,2010.0
Kevin Van Dam: Big Bass Challenge,PC,Zoo Games,,2010.0
Hitman: Blood Money,Wii,Eidos Interactive,,2006.0
Utawarerumono Portable,PC,Aquaplus,,2009.0
EverBlue 2,Playstation,Capcom,,2003.0
Gaia Saver Hero Saidai no Sakusen,Playstation,Banpresto,,1994.0
Junior Island Adventure,Nintendo,Unknown,,2011.0
Caesar III,DS,Sierra Entertainment,,1998.0
Safari Adventures: Africa,PC,Conspiracy Entertainment,,2009.0
Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,Wii,Square Enix,,2017.0
Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen,DS,Alchemist,,2009.0
A Game of Thrones: Genesis,Playstation,Focus Home Interactive,,2011.0
Barbie and Her Sisters Puppy Rescue,PC,Little Orbit,,2015.0
Maximum Racing: Drag & Stock Racer,DS,Unknown,,2011.0
King's Quest: The Complete Collection,Wii,Activision,,2016.0
SoulCalibur II(JP sales),Xbox,Namco,,2003.0
Earthfall,Xbox,Gearbox Software,,2018.0
Future Card Buddyfight Mezase! Buddy Champion!,DS,FuRyu Corporation,,2017.0
Nancy Drew: Alibi In Ashes,Xbox,Her Interactive,,2011.0
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,PC,Daito,,2006.0
Yumeiro Patissiere: My Sweets Cooking,Playstation,Konami,,2010.0
Clannad,DS,Prototype,,2011.0
Samurai Warriors 3Z Special,DS,Koei Tecmo,,2012.0
Travel Coach: Europe 1,Playstation,Disney Interactive Studios,,2010.0
Shantae: Half-Genie Hero,Playstation,Xseed Games,,2016.0
Clever Kids: Pirates,Playstation,Midas Interactive Entertainment,,2008.0
MotoGP,Playstation,Namco Bandai,,2006.0
Electroplankton,DS,Nintendo,,2005.0
Pro Evolution Soccer 2017,DS,Konami Digital Entertainment,,2016.0
F1 Championship Season 2000,PC,EA Sports,,2000.0
Montessori Music,Playstation,SouthPeak Interactive,,2011.0
The Void,DS,Mamba Games,,2009.0
Max & the Magic Marker,PC,Unknown,,2011.0
Supreme Ruler: Cold War,PC,Paradox Interactive,,2011.0
Crash Time: Autobahn Pusuit,Wii,Crave Entertainment,,2008.0
PowerSlave,Xbox,Playmates,,1997.0
Metal Gear Solid HD Collection    Read the review,Playstation,Konami Digital Entertainment,,2012.0
Ride 3,Playstation,Bandai Namco Entertainment,,2018.0
Project Gotham Racing 2 (JP weekly sales),Xbox,Microsoft Game Studios,,2003.0
The Peanuts Movie: Snoopy's Grand Adventure,Xbox,Activision,,2015.0
8-Bit Armies,Playstation,Soedesco,,2018.0
CT Special Forces,GB,Hip Interactive,,2004.0
Rugby League Live 3,Xbox,Tru Blu Entertainment,,2015.0
Jikandia: The Timeless Land,Xbox,Aksys Games,,2011.0
Jewel Master: Cradle of Rome,Playstation,Destineer,,2009.0
FIFA World Cup: Germany 2006,Wii,EA Sports,,2006.0
Immortal Unchained,GB,Sold Out,,2018.0
The Dwarves,Playstation,THQ Nordic,,2016.0
Earthworm Jim 2,Xbox,Majesco,,2002.0
Tamagotchi no Doki Doki Dream Omisecchi,GB,Namco Bandai Games,,2013.0
Best Friends Tonight,DS,Ubisoft,,2010.0
Toushin Toshi,DS,imageepoch Inc.,,2014.0
Suujin Taisen,DS,Nintendo,,2007.0
Driv3r,DS,Atari,,2005.0
Street Supremacy,Playstation,Konami,,2006.0
Flashback,GB,Maximum Games,,2018.0
Looney Tunes: Galactic Sports,NS,Sony Computer Entertainment,,2015.0
River King: Mystic Valley (jp sales),Playstation,Natsume,,2008.0
Winning Post World,DS,KOEI,,2009.0
Beyond the Labyrinth,Playstation,Unknown,,
.hack: Sekai no Mukou ni + Versus,DS,Namco Bandai Games,,2012.0
Sacra Terra: Angelic Night,PC,Viva Media,,2011.0
Railway Empire,Playstation,Kalypso Media,,2018.0
Disney Sports Soccer,Xbox,Konami,,2002.0
Cooking Mama 5,Nintendo,Office Create,,2013.0
Animal Boxing,DS,Destineer,,2008.0
Mame Goma: Honobo no Nikki,DS,TDK Core,,2007.0
MXGP Pro,DS,Milestone S.r.l.,,2018.0
Moonmist,Xbox,Unknown,0.03,
La Corda d'Oro 4,PC,Tecmo Koei,,2016.0
Disney's Hide & Sneak,Playstation,Capcom,,2003.0
Nobunaga no Yabou: Kakushin with Power-Up Kit,Nintendo,KOEI,,2008.0
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,Playstation,Namco Bandai Games,,2013.0
Farming 2017 - The Simulation,Playstation,UIG Entertainment,,2016.0
Raw Danger!,Playstation,Agetec,,2007.0
Legend of the Dragon,PC,Game Factory,,2007.0
Monster Rancher Hop-A-Bout,Playstation,Tecmo,,2000.0
Custom Beat Battle: Draglade 2,Playstation,Namco Bandai,,2008.0
de Blob 2,DS,THQ Nordic,,2018.0
Gotouchi Kenkei DS,NS,Spike,,2006.0
Astonishia Story,DS,Ubisoft,,2006.0
Transformers: Devastation,Playstation,Activision,,2015.0
BikkuriMan Daijiten,PC,3 O'Clock,,2007.0
Bikkuriman Daijiten,DS,Unknown,,
Accel World: Ginyoku no Kakusei,DS,Namco Bandai Games,,2012.0
Elf Bowling 1 & 2,Playstation,Ignition Entertainment,,2005.0
NBA 2K17,GB,2K Sports,,2016.0
Maximum Racing: GP Classic Racing,PC,Unknown,,2011.0
GunGriffon: Allied Strike,Wii,Tecmo,,2004.0
WRC 5: FIA World Rally Championship,Xbox,Bigben Interactive,,2015.0
Stacked with Daniel Negreanu,Playstation,Myelin Media,,2006.0
Vitamin X Evolution,Playstation,D3 Publisher,,2008.0
Mahjong 300,DS,Avanquest,,2011.0
Saru! Get You! SaruSaru Daisakusen,Playstation,Sony Computer Entertainment,,2007.0
Sea Park Tycoon,DS,Destineer,,2010.0
Arthur and the Invisibles,DS,Atari,,2007.0
Dynasty Warriors: Godseekers,DS,Tecmo Koei,,2017.0
Black Mirror,Playstation,THQ Nordic,,2017.0
Forgotten Realms: Unlimited Adventures,Xbox,Strategic Simulations,0.03,1993.0
PopCap Arcade Vol 2,GB,PopCap Games,,2009.0
The Flintstones: Big Trouble in Bedrock,Xbox,Crave Entertainment,,2001.0
SUPERBEAT: XONiC,All,PM Studios,,2017.0
Sorcery Saga: Curse of the Great Curry God,NS,Aksys Games,,2013.0
Beastly,Playstation,Storm City Games,,2011.0
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,Wii,Kamui,,2010.0
Smart Girl's Winter Wonderland,DS,UFO Interactive,,2008.0
Majesty 2: The Fantasy Kingdom Sim,DS,Paradox Interactive,,2009.0
Silverlicious,OSX,GameMill,,2012.0
BeatMania IIDX 14 Gold,DS,Konami,,2008.0
Pure Farming 2018,Playstation,Techland,,2018.0
Railway Empire,PC,Kalypso Media,,2018.0
Trials Fusion,Xbox,Ubisoft,,2014.0
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,Playstation,ASK,,1996.0
Toriko: Ultimate Survival,Autre,Namco Bandai Games,,2013.0
Vegas Casino,DS,SVG Distribution,,2007.0
Madou Monogatari,DS,Compile,,1998.0
River City Super Sports Challenge,Autre,Aksys Games,,2010.0
Flipper Critters,DS,Ignition Entertainment,,2007.0
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,Xbox,D3Publisher,,2012.0
Togainu no Chi: True Blood,DS,Kadokawa Shoten,,2008.0
Tork: Prehistoric Punk,Playstation,Ubisoft,,2005.0
Call of Juarez: Bound in Blood,DS,Ubisoft,,2009.0
Chicken Shoot 2,PC,"Destination Software, Inc",,2005.0
Shin Hayarigami 2,GB,Nippon Ichi Software,,2016.0
Prince of Persia: The Forgotten Sands,Playstation,Ubisoft,,2010.0
Summer Athletics 2009,PC,49Games,,2009.0
Apache: Air Assault,Xbox,Activision,,2010.0
Underground Pool,DS,UFO Interactive,,2007.0
Infinite Stratos 2: Ignition Hearts,PC,5pb,,2014.0
Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen,Playstation,Hackberry,,2008.0
Accel World: Ginyoku no Kakusei,Playstation,Namco Bandai Games,,2012.0
Classic Dungeon: Fuyoku no Masoujin    Read the review,Playstation,Nippon Ichi Software,,2010.0
Crazy Machines,DS,DTP Entertainment,,2008.0
Mystery Case Files: Ravenhearst,Playstation,Big Fish Games,,2007.0
Rampo,PC,Sega,,1995.0
The Sims 2: Glamour Life Stuff,Autre,Electronic Arts,,2006.0
Super Heroine Chronicle,PC,Namco Bandai Games,,2014.0
Treasures of the Savage Frontier,Playstation,Unknown,0.03,
My Pet Shop (JP sales),PC,Taito,,2009.0
Toy Shop,DS,Majesco,,2008.0
Darkest Dungeon,DS,Merge Games,,2018.0
Exstetra,Playstation,FuRyu Corporation,,2013.0
Kung Fu Panda: Showdown of Legendary Legends,Xbox,Little Orbit,,2015.0
Dodge Racing: Charger vs Challenger,NS,Zoo Games,,2009.0
Gokujou!! Mecha Mote Iinchou: MM My Best Friend!,DS,Konami,,2010.0
Biker Mice From Mars,DS,Game Factory,,2007.0
Jig-A-Pix: Wild World,DS,Destineer,,2010.0
Winning Post 8 2016,DS,Tecmo Koei,,2016.0
IDOLiSH7 Twelve Fantasia!,Playstation,Bandai Namco Entertainment,,2018.0
Hiiro no Kakera 2: Hisui no Shizuku,Playstation,Idea Factory,,2007.0
Rugby World Cup 2015,Playstation,Big Ben Interactive,,2015.0
Pro Yakyuu Spirits 5 Kanzenban,Xbox,Konami,,2008.0
Blazing Angels: Squadrons of WWII,Playstation,Ubisoft,,2006.0
Cabela's Big Game Hunter: Pro Hunts,PC,Activision,,2014.0
Disney Epic Mickey: The Power of Illusion    Read the review,Playstation,Disney Interactive Studios,,2012.0
The Legend of Heroes III: Song of the Ocean,DS,Namco Bandai,,2007.0
Top Gun: Hard Lock,Playstation,505 Games,,2012.0
Utawarerumono: Chiriyukusha e no Komoriuta,Playstation,Aqua Plus,,2018.0
Dance Factory,Playstation,Codemasters,,2006.0
Totally Spies!,Playstation,Atari,,2005.0
DragonHeart: Fire & Steel,GB,Acclaim Entertainment,,1996.0
Chaos;Head - Love Chu*Chu!,Playstation,5pb,,2010.0
Nishijin Pachinko Monogatari 2,Nintendo,KSS,,1996.0
World of Final Fantasy Maxima,Xbox,Square Enix,,2018.0
RoadKill,Xbox,Midway Games,,2003.0
Playmobil Top Agents,Nintendo,Unknown,,2020.0
RACE On,PC,bitComposer Games,,2009.0
F1 2002,DS,EA Sports,,2002.0
Mushihimesama Futari Ver 1.5,Nintendo,Cave,,2009.0
thinkSMART FAMILY!,Xbox,Conspiracy Entertainment,,2010.0
MotoGP 15,Wii,Milestone S.r.l.,,2015.0
Pocket Fighter,Xbox,Capcom,,1998.0
Ojyousama Express,Autre,Media Works,,1998.0
Rugby Challenge 3,Autre,Alternative Software,,2016.0
Toaru Majutsu to Kagaku no Ensemble,Playstation,Namco Bandai Games,,2013.0
Raid: World War II,Playstation,505 Games,,2017.0
Starsky & Hutch,GB,BAM! Entertainment,,2003.0
Garfield: A Tale of Two Kitties,Xbox,Game Factory,,2006.0
House M.D.,DS,Legacy Interactive,,2010.0
Sitting Ducks,DS,Hip Interactive,,2004.0
Brothers Conflict: Brilliant Blue,GB,Idea Factory,,2013.0
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",Playstation,Rejet,,2016.0
Eyeshield 21: Field Saikyou no Senshi Tachi,,Nintendo,,2007.0
Fullmetal Alchemist: Brotherhood,Wii,Unknown,,
To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen,Playstation,Marvelous Interactive,,2008.0
Train Sim World,DS,Maximum Games,,2018.0
Midnight Mysteries: The Edgar Allan Poe Conspiracy,Xbox,Mumbo Jumbo,,2009.0
Last Escort: Club Katze,PC,D3 Publisher,,2010.0
Who Wants to be a Millionaire: 1st Edition,Playstation,Ubisoft,,2010.0
Red Faction: Guerrilla,Wii,THQ,,2009.0
Stacked with Daniel Negreanu,PC,Myelin Media,,2006.0
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,Xbox,Yeti,,2010.0
Ultimate Block Party,Playstation,Conspiracy Entertainment,,2005.0
Konami Classics Series: Arcade Hits,Playstation,Konami,,2007.0
Otometeki Koi Kakumei * Love Revo,DS,Interchannel,,2006.0
Power Rangers Super Megaforce,Playstation,Namco Bandai Games,,2014.0
New Interpretation Stranger of Sword City,DS,Experience Inc.,,2016.0
Dr. Muto,Playstation,Midway Games,,2002.0
Hallowed Legends: Samhain,Nintendo,Focus Home Interactive,,2011.0
Sumikko Gurashi Atsumare Sumikko Town,PC,Nippon Columbia,,2018.0
Otomedius Gorgeous,NS,Konami,,2008.0
Egg Mania: Eggstreme Madness,Xbox,Kemco,,2002.0
Guilty Gear XX Accent Core Plus,Playstation,Aksys Games,,2009.0
Rabbids Land,Wii,Ubisoft,,2012.0
Who Wants to be a Millionaire: 1st Edition,Wii,Ubisoft,,2010.0
Phantasy Star Online 2: Episode 3 Deluxe Package,DS,Sega,,2015.0
Rome: Total War - Gold Edition,PC,Sega,,2006.0
Kiniro no Corda 3,Playstation,KOEI,,2010.0
Nil Admirari no Tenbin: Teito Genwaku Toukidan,Playstation,Idea Factory,,2016.0
Zero Escape: Virtue's Last Reward,Playstation,Aksys Games,,2012.0
Aegis of Earth: Protonovus Assault,DS,Aksys Games,,2016.0
Darkstalkers Resurrection,Playstation,Capcom,,2013.0
Mega Minis Volume 2,Playstation,Sony Computer Entertainment,,2011.0
Highschool Terra Story,Playstation,KID,,1998.0
All-Star Fruit Racing,Autre,PQube,,2018.0
Emergency! Disaster Rescue Squad,Playstation,Destineer,,2009.0
Overlord II,Xbox,Codemasters,,2009.0
Summer Athletics: The Ultimate Challenge,PC,Crave Entertainment,,2008.0
Berserk and the Band of the Hawk,DS,Tecmo Koei,,2016.0
Suggoi! Arcana Heart 2,Playstation,AQ Interactive,,2009.0
Let's Sing 2019,Playstation,Ravenscourt,,2018.0
Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,Playstation,Sega,,2018.0
Dragon's Dogma Online: Season 2,Playstation,Capcom,,2016.0
Divinity: Original Sin II,Playstation,Bandai Namco Entertainment,,2018.0
Mother Goose no Himitsu no Yakata,Xbox,Quinrose,,2011.0
Super Bomberman R,Playstation,Konami Digital Entertainment,,2018.0
HappinessCharge PreCure! Kawarun Collection,Xbox,Namco Bandai Games,,2014.0
Men of War,DS,Aspyr,,2009.0
Winning Post 7 2009,PC,KOEI,,2009.0
Code Lyoko: Quest for Infinity,Playstation,Game Factory,,2008.0
Puzzle & Action: Tant-R,Autre,Sega,,1994.0
Mega Man X Legacy Collection 1+2,Playstation,Capcom,,2018.0
Digimon World 4,NS,Bandai,,2005.0
Nobunaga's Ambition: Sphere of Influence with Power-Up Kit,Xbox,Tecmo Koei,,2017.0
Kekkaishi: Kokubourou Shuurai,NS,Namco Bandai,,2008.0
Galleon: Islands of Mystery,DS,Atlus,,2004.0
Shugo Chara! Amunonijiro Chara Change,Xbox,Konami,,2008.0
100% Pascal Sensei: Kanpeki Paint Bombers,DS,Konami Digital Entertainment,,2017.0
Ren'ai 0 Kilometer,Playstation,Alchemist,,2013.0
Labyrinth of Refrain: Coven of Dusk,DS,NIS America,,2018.0
Omega Labyrinth Z,Playstation,Unknown,,
Far East of Eden Shinden,Playstation,Hudson Soft,,1995.0
Sunny Garcia Surfing,Playstation,Ubisoft,,2001.0
Tantei Jinguuji Saburo DS: Kienai Kokoro,Autre,Arc System Works,,2008.0
MotorHead,DS,Fox Interactive,,1998.0
Rugby Union Team Manager 2017,Playstation,Alternative Software,,2016.0
StormLover,PC,D3 Publisher,,2010.0
Shaun White Skateboarding,Playstation,Ubisoft,,2010.0
Gensou Suikoden I & II,PC,Konami,,2006.0
Gloria Union,Playstation,Atlus,,2011.0
Pro Evolution Soccer 2018,Playstation,Konami Digital Entertainment,,2017.0
East India Company Collection,Xbox,Paradox Interactive,,2010.0
Fallout: New Vegas Ultimate Edition,PC,Bethesda Softworks,,2012.0
Alter Ego,PC,Activision,,1986.0
Eyeshield 21: DevilBats DevilDays,GB,Nintendo,,2006.0
Rugby 15,PC,Bigben Interactive,,2015.0
Jyuzaengi: Engetsu Sangokuden,Xbox,Idea Factory,,2012.0
Nisekoi: Yomeiri!?,Playstation,Konami Digital Entertainment,,2015.0
Super Meat Boy: Ultra Edition!,Playstation,Unknown,,2011.0
Dancing Blade II: Tears of Eden,PC,Konami,,1999.0
Shin Sangoku Musou Online: Kamishou Ranbu,Playstation,KOEI,,2010.0
Bubble Bobble Evolution,Playstation,Codemasters,,2006.0
Gochuumon wa Usagi Desu ka?? Wonderful Party!,Playstation,5pb,,2016.0
Kokoro no Kokoron,DS,Namco Bandai,,2011.0
BeatMania IIDX 13: DistorteD,Playstation,Konami,,2007.0
Hiiro no Kakera 3: Aoikuro no Kusabi,Playstation,Idea Factory,,2008.0
Super Dungeon Bros,Playstation,Wired Productions,,2016.0
Override: Mech City Brawl,Playstation,Modus Games,,2018.0
Puyo Puyo Chronicle,DS,Sega,,2016.0
Guitar Hero: World Tour,Playstation,Activision,,2009.0
Go! Go! Hypergrind,PC,Atlus,,2003.0
Keshisasu-Kun: Battle Kas-tival,Nintendo,Konami,,2010.0
Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,Namco Bandai,,2011.0
Blade Arcus from Shining EX,DS,Sega,,2015.0
Peak Performance,Playstation,Atlus,,1997.0
Young Justice: Legacy,Playstation,Warner Bros. Interactive Entertainment,,2013.0
DokiDoki Majo Shinpan! 2,DS,SNK Playmore,,2008.0
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,DS,ChunSoft,,2012.0
Handball 16,DS,Bigben Interactive,,2015.0
Nacho Libre,Playstation,Majesco,,2006.0
S.L.A.I.: Steel Lancer Arena International,DS,Konami,,2005.0
Freaky Flyers,Playstation,Midway Games,,2003.0
Boulder Dash: Rocks!,Xbox,10TACLE Studios,,2007.0
N+,DS,Atari,,2008.0
Don't Knock Twice,Playstation,Perpetual,,2018.0
Zoboomafoo: Leapin' Lemurs!,Playstation,Encore,,2001.0
Azada,Playstation,Licensed 4U,,2014.0
Dennou Senki Virtual-On Force,Xbox,Sega,,2010.0
Troll and I,DS,Maximum Games,,2017.0
Beast Quest,Playstation,Maximum Games,,2018.0
Graffiti Kingdom,Playstation,Hot-B,,2005.0
Nettou! Powerful Koushien,DS,Konami,,2010.0
Kamen Rider: Climax Fighters,Playstation,Namco Bandai Games,,2017.0
Armored Core SL: Silent Line Portable,Playstation,From Software,,2009.0
Away: Shuffle Dungeon,DS,Majesco,,2008.0
Combat Mission: Shock Force,Playstation,Paradox Interactive,,2007.0
Ratatouille,PC,THQ,,2007.0
Combat Elite: WWII Paratroopers,PC,SouthPeak Interactive,,2005.0
To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen,Xbox,Marvelous Interactive,,2008.0
Lethal Enforcers I & II,Playstation,Konami,,1997.0
Teddy Together,Playstation,Nintendo,,2016.0
Carmageddon: Max Damage,DS,Stainless Games,,2017.0
Code: Realize - Bouquet of Rainbows,GB,Aksys Games,,2018.0
Klonoa 2: Dream Champ Tournament,Xbox,Namco,,2005.0
Putty Squad,Playstation,Maximum Games,,2014.0
Adventure Time: Pirates of the Enchiridion,Playstation,Outright Games,,2018.0
Phantasie II,NS,Strategic Simulations,0.03,1986.0
Minna no Golf Jou Vol.1,All,Sony Computer Entertainment,,2007.0
Harry Potter and the Half-Blood Prince,Playstation,Electronic Arts,,2009.0
Utawarerumono Zan,PC,Aquaplus,,2018.0
Ducati World Racing Challenge,Playstation,Acclaim Entertainment,,2001.0
Super Collapse! II,GB,Majesco,,2004.0
Golden Nugget Casino / Texas Hold 'Em Double Pack,Playstation,Majesco,,2005.0
Pop'n Music 14 Fever!,Playstation,Konami,,2007.0
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,GB,Gust,,2010.0
Lux-Pain (JP sales),Playstation,Ignition Entertainment,,2009.0
Smashing Drive,DS,Namco,,2004.0
A Vampyre Story,GB,The Adventure Company,0.03,2008.0
Akalabeth,Nintendo,California Pacific,0.03,1979.0
Angelique Luminarise,Nintendo,Koei Tecmo,0.03,2021.0
Big Mountain 2000,Nintendo,SouthPeak Interactive,,2000.0
Charlie Blasts Territory,PC,Kemco,,1999.0
FS1 Flight Simulator,PC,Sublogic,0.03,1979.0
Haruka: Beyond the Stream of Time 7,Xbox,Unknown,0.03,
Kiniro no Corda 4,Xbox,Unknown,0.03,
Man of War,PC,Virgin Interactive,0.03,1997.0
OutRun 2006: Coast 2 Coast,Playstation,Sega,0.03,2006.0
Senko no Ronde DUO,NS,G.Rev,,2010.0
Starshot: Space Circus Fever,All,Infogrames,,1999.0
Submarine Titans,All,Strategy First,0.03,2000.0
X-COM Interceptor,NS,Atari,0.03,1998.0
CIMA: The Enemy,PC,Natsume,,2003.0
Heathcliff! The Fast and the Furriest,GB,Storm City Games,,2010.0
Tokimeki Memorial Girl's Side 1st Love Plus,DS,Konami,,2009.0
Katekyoo Hitman Reborn! Kizuna no Tag Battle,Wii,Marvelous Interactive,,2010.0
Code Geass: Hangyaku no Lelouch,Playstation,Namco Bandai,,2007.0
Boot Camp Academy,DS,Zoo Games,,2010.0
Daibakushou: Jinsei Gekijou,Wii,Taito,,1995.0
Hudson x GReeeeN Live!? DeeeeS!?,Nintendo,Hudson Soft,,2010.0
Kamen Rider: Climax Scramble Zi-O,DS,Bandai Namco Games,,2018.0
Eiyuu Densetsu: Sora no Kiseki Set,NS,Falcom Corporation,,2008.0
Marble Madness / Klax,GB,DSI Games,,2005.0
Story Hour: Adventures,Playstation,Zoo Digital Publishing,,2008.0
Downstream Panic!,Wii,Atari,,2008.0
DJ Max Portable 3,Playstation,PM Studios,,2010.0
