Name,Platform,Publisher,Global Sales,Date de sortie
Dying Light,All,Techland,30.00,2015.0
James Bond,All,Parker Bros.,30.00,1983.0
Mario & Sonic at the Olympic Games,All,Sega,30.00,2007.0
The Elder Scrolls V: Skyrim,Series,Bethesda Softworks,30.00,2011.0
Wii Play,Series,Nintendo,29.66,2007.0
The Legend of Zelda: Breath of the Wild,NS,Nintendo,29.00,2017.0
Nintendogs,Series,Nintendo,28.64,2005.0
Splatoon,Series,Nintendo,28.38,2015.0
Duck Hunt,Nintendo,Nintendo,28.31,1985.0
Naruto: Ultimate Ninja,Series,Bandai Namco Entertainment,28.11,2006.0
Wii Play    Read the review,Wii,Nintendo,28.02,2007.0
Devil May Cry,Series,Capcom,28.00,2001.0
Farming Simulator,Series,Astragon,28.00,2008.0
Tales of,Series,Namco,27.75,1998.0
Grand Theft Auto: San Andreas,All,Rockstar Games,27.50,2004.0
Yoshi,Series,Nintendo,27.31,1992.0
Portal,Series,Valve,27.03,2007.0
Borderlands 2,All,2K Games,27.00,2012.0
FIFA 18,All,Electronic Arts,26.40,2017.0
Rayman,Series,Ubisoft,26.00,1995.0
Pokémon Sword / Shield    Read the review,NS,Nintendo,25.68,2019.0
Super Mario Odyssey    Read the review,NS,Nintendo,25.12,2017.0
Grand Theft Auto IV,Series,Rockstar Games,25.00,2008.0
Human: Fall Flat,Series,Curve Digital,25.00,2016.0
Puyo Puyo,All,Sega,25.00,2002.0
Tiger Woods PGA Tour,All,EA Sports,25.00,1998.0
Batman: Arkham,Series,Warner Bros. Interactive Entertainment,24.81,2009.0
Jikkyo Powerful Pro Yakyu,Series,Konami,24.40,1994.0
Kinect Adventures!    Read the review,Xbox,Microsoft Game Studios,24.00,2010.0
Petz,Series,PF.Magic,24.00,1995.0
Nintendogs,DS,Nintendo,23.96,2005.0
Mario Kart DS,DS,Nintendo,23.60,2005.0
Pokémon Gold / Silver Version,GB,Nintendo,23.10,2000.0
God of War (2018),PC,Sony Interactive Entertainment,23.00,2018.0
Terraria,All,Re-Logic,23.00,2011.0
Call of Duty: Modern Warfare 2,All,Activision,22.70,2009.0
Wii Fit    Read the review,Wii,Nintendo,22.67,2008.0
Teenage Mutant Ninja Turtles,Series,Konami,22.60,1989.0
Luigi's Mansion,Series,Nintendo,22.24,2001.0
Microsoft Flight Simulator,Series,Microsoft,22.20,1982.0
SpongeBob SquarePants,Series,THQ,22.00,2001.0
Yu-Gi-Oh!,Series,Konami,21.80,2002.0
Yakuza,Series,Sega,21.63,2006.0
Castlevania,Series,Konami,21.63,1986.0
Dynasty Warriors,Series,KOEI,21.28,1997.0
Wii Fit Plus,Wii,Nintendo,21.13,2009.0
Imagine,Series,Ubisoft,21.00,2007.0
Final Fantasy X/X-2,Series,Square,20.80,2001.0
Naruto: Ultimate Ninja Storm,All,Namco Bandai Games,20.80,2008.0
Pokémon Scarlet / Violet    Read the review,Nintendo,Nintendo,20.61,2022.0
Super Mario World,NS,Nintendo,20.61,1991.0
Grand Theft Auto V    Read the review,Playstation,Rockstar Games,,2013.0
The Lord of the Rings,Series,Melbourne House,20.17,1982.0
Super Robot Wars,Series,Bandai,20.06,1991.0
Cyberpunk 2077,Playstation,CD Projekt Red Studio,20.00,2020.0
Dying Light,Series,Warner Bros. Interactive Entertainment,20.00,2015.0
Elden Ring,Series,Bandai Namco Entertainment,20.00,2022.0
Fallout 4,Series,Bethesda Softworks,20.00,2015.0
FIFA 19,Series,EA Sports,20.00,2018.0
Frogger,Series,Konami,20.00,1981.0
Gundam,Series,Bandai,20.00,1997.0
Horizon,Series,Sony Interactive Entertainment,20.00,2017.0
Horizon: Zero Dawn,Series,Sony Interactive Entertainment,20.00,2017.0
Lemmings,Series,Psygnosis,20.00,1991.0
Marvel's Spider-Man    Read the review,Series,Sony Interactive Entertainment,20.00,2018.0
Monster Hunter: World,Series,Capcom,20.00,2018.0
Prince of Persia,Series,Ubisoft,20.00,1989.0
Rayman Raving Rabbids,Series,Ubisoft,20.00,2006.0
SimCity,All,Maxis,20.00,1989.0
Simple,All,Agetec,20.00,2002.0
SingStar,All,Sony Interactive Entertainment,20.00,2004.0
Sniper Elite,All,Rebellion Developments,20.00,2005.0
Spyro,All,Sony Interactive Entertainment,20.00,1998.0
Stardew Valley,Series,Chucklefish,20.00,2016.0
Stardew Valley,All,ConcernedApe,20.00,2016.0
Tom Clancy's The Division,All,Ubisoft,20.00,2016.0
Watch Dogs,All,Ubisoft,20.00,2014.0
God of War (2018)    Read the review,Playstation,Sony Interactive Entertainment,19.50,2018.0
Grand Theft Auto V,Playstation,Rockstar Games,,2014.0
StarCraft,Series,Blizzard Entertainment,19.10,1998.0
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,19.01,2006.0
Call of Duty: Ghosts,Series,Activision,19.00,2013.0
Driver,Series,GT Interactive,19.00,1999.0
WarCraft,All,Blizzard Entertainment,19.00,1994.0
Mario Kart 7    Read the review,DS,Nintendo,18.97,2011.0
Super Mario Party    Read the review,NS,Nintendo,18.79,2018.0
Midnight Club,Series,Rockstar Games,18.50,2000.0
Super Mario Land,GB,Nintendo,18.14,1989.0
Ace Combat,Series,Namco,18.00,1995.0
Professor Layton,Series,Nintendo,18.00,2008.0
Need for Speed: Most Wanted,All,Electronic Arts,17.80,2005.0
Pokémon Diamond / Pearl Version,DS,Nintendo,17.67,2007.0
Grand Theft Auto: Vice City,All,Rockstar Games,17.50,2002.0
Grand Theft Auto: San Andreas,Playstation,Rockstar Games,17.30,2004.0
Super Mario Bros. 3,Nintendo,Nintendo,17.28,1990.0
RollerCoaster Tycoon,Series,Hasbro Interactive,17.23,1999.0
Persona,Series,Atlus,17.10,1996.0
SoulCalibur,Series,Namco,17.00,1996.0
Zuma,Series,PopCap Games,17.00,2003.0
Zuma,All,PopCap Games,17.00,2003.0
Garry's Mod,PC,Valve,16.90,2006.0
Pokemon Mystery Dungeon,Series,Nintendo,16.86,2006.0
Metroid,Series,Nintendo,16.80,1987.0
Pokémon X/Y    Read the review,DS,Nintendo,16.65,2013.0
Hitman,Series,Eidos Interactive,16.59,2000.0
Mario Tennis,Series,Nintendo,16.53,1995.0
Deus Ex,Series,Eidos Interactive,16.40,2000.0
Pokémon Sun/Moon,DS,Nintendo,16.29,2016.0
Uncharted 4: A Thief's End,Playstation,Sony Interactive Entertainment,16.25,2016.0
Pokémon Ruby / Sapphire Version,GB,Nintendo,16.22,2003.0
Grand Theft Auto: Vice City,Playstation,Rockstar Games,,2002.0
Borderlands 3,Series,2K Games,16.00,2019.0
FIFA 11,All,EA Sports,16.00,2010.0
Mass Effect,All,Electronic Arts,16.00,2007.0
The Sims,All,Electronic Arts,16.00,2000.0
The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment,15.90,2015.0
Grand Theft Auto V,Xbox,Rockstar Games,,2013.0
Call of Duty 4: Modern Warfare,All,Activision,15.70,2007.0
Call of Duty: World at War,All,Activision,15.70,2008.0
Pokémon Black / White Version    Read the review,DS,Nintendo,15.64,2011.0
Need for Speed: Carbon,All,Electronic Arts,15.60,2006.0
Momotaro Dentetsu,Series,Konami,15.50,1988.0
Ring Fit Adventure,NS,Nintendo,15.22,2019.0
