Name,Platform,Test_MC,Players_MC
60 PARSECS!,PC,68.0,7.3
7 DAYS TO DIE,PLAYSTATION,,5.9
7 DAYS TO DIE,XBOX,,5.6
7 WONDERS OF THE ANCIENT WORLD,DS,60.0,8.3
7 WONDERS OF THE ANCIENT WORLD,PLAYSTATION,51.0,6.0
7554,PC,,7.2
7TH DRAGON III CODE: VFD,DS,76.0,7.9
8-BIT ADVENTURE ANTHOLOGY: VOLUME 1,PLAYSTATION,71.0,
8-BIT ARMIES,PC,69.0,7.2
8-BIT HORDES,PLAYSTATION,63.0,
80 DAYS,PC,71.0,7.4
80 DAYS,SWITCH,84.0,7.8
88 HEROES,PLAYSTATION,72.0,5.8
88 HEROES: 98 HEROES EDITION,SWITCH,65.0,6.4
9 MONKEYS OF SHAOLIN,PC,71.0,7.5
9 MONKEYS OF SHAOLIN,PLAYSTATION,71.0,6.9
9 MONKEYS OF SHAOLIN,SWITCH,69.0,7.8
9 MONKEYS OF SHAOLIN,XBOX,72.0,7.2
9 YEARS OF SHADOWS,PC,74.0,7.6
911 OPERATOR,PC,68.0,6.7
99BULLETS,DS,74.0,
99VIDAS,PLAYSTATION,61.0,6.4
A BASTARD'S TALE,PLAYSTATION,,5.5
A BIRD STORY,PC,66.0,7.0
A BOY AND HIS BLOB,WII,80.0,8.2
A CASE OF DISTRUST,PC,77.0,5.8
A CITY SLEEPS,PC,61.0,6.2
A FISHERMAN'S TALE,PC,78.0,5.4
A FISHERMAN'S TALE,PLAYSTATION,70.0,5.7
A FISTFUL OF GUN,PC,60.0,7.1
A FOLD APART,PC,77.0,6.9
A GAME OF DWARVES,PC,60.0,6.4
A GAME OF THRONES: GENESIS,PC,53.0,
A GOLDEN WAKE,PC,68.0,6.0
A HAT IN TIME,PC,79.0,8.7
A HAT IN TIME,PLAYSTATION,79.0,8.2
A HAT IN TIME,SWITCH,76.0,8.0
A HAT IN TIME,XBOX,74.0,8.1
A JUGGLER'S TALE,PLAYSTATION,69.0,7.7
A KINGDOM FOR KEFLINGS,XBOX,78.0,7.3
A KNIGHT'S QUEST,SWITCH,59.0,
A KNIGHT'S QUEST,XBOX,62.0,
A LITTLE GOLF JOURNEY,SWITCH,80.0,
A LITTLE TO THE LEFT,PC,76.0,6.6
A LITTLE TO THE LEFT,SWITCH,73.0,5.6
A MEMOIR BLUE,PLAYSTATION,71.0,5.7
A MUSICAL STORY,SWITCH,79.0,
A NEW BEGINNING - FINAL CUT,PC,72.0,6.8
A NORMAL LOST PHONE,PC,71.0,7.0
A NORMAL LOST PHONE,SWITCH,73.0,7.0
A PIXEL STORY,PC,74.0,5.8
A PIXEL STORY,XBOX,73.0,
A PLAGUE TALE: INNOCENCE,PC,81.0,8.5
A PLAGUE TALE: INNOCENCE,PLAYSTATION,81.0,8.5
A PLAGUE TALE: INNOCENCE,XBOX,83.0,8.7
A PLAGUE TALE: REQUIEM,PC,82.0,8.3
A PLAGUE TALE: REQUIEM,PLAYSTATION,82.0,8.1
