Name,Platform,Test_MC,Players_MC
COMMAND & CONQUER 3: TIBERIUM WARS,XBOX,82.0,7.4
COMMAND & CONQUER 4: TIBERIAN TWILIGHT,PC,64.0,
COMMAND & CONQUER REMASTERED COLLECTION,PC,82.0,8.7
COMMAND & CONQUER: GENERALS,PC,84.0,8.4
COMMAND & CONQUER: GENERALS - ZERO HOUR,PC,83.0,8.8
COMMAND & CONQUER: RED ALERT,PC,90.0,8.7
COMMAND & CONQUER: RED ALERT 2,PC,84.0,8.9
COMMAND & CONQUER: RED ALERT 2 - YURI'S REVENGE,PC,86.0,8.9
COMMAND & CONQUER: RED ALERT 3,PC,82.0,6.9
COMMAND & CONQUER: RED ALERT 3,PLAYSTATION,75.0,7.3
COMMAND & CONQUER: RED ALERT 3,XBOX,77.0,7.1
COMMAND & CONQUER: RED ALERT 3 - COMMANDER'S CHALLENGE,XBOX,72.0,6.8
COMMAND & CONQUER: RED ALERT 3 - UPRISING,PC,64.0,6.8
COMMAND & CONQUER: RENEGADE,PC,75.0,7.7
COMMAND & CONQUER: THE FIRST DECADE,PC,71.0,8.5
COMMANDER: CONQUEST OF THE AMERICAS,PC,68.0,5.4
COMMANDERS: ATTACK,XBOX,72.0,8.3
COMMANDOS 2 HD REMASTER,PC,60.0,
COMMANDOS 2 HD REMASTER,SWITCH,52.0,
COMMANDOS 2: MEN OF COURAGE,PC,87.0,8.8
COMMANDOS 2: MEN OF COURAGE,PLAYSTATION,67.0,7.0
COMMANDOS 2: MEN OF COURAGE,XBOX,67.0,7.3
COMMANDOS 3: DESTINATION BERLIN,PC,72.0,7.5
COMMANDOS STRIKE FORCE,PC,62.0,7.1
COMMANDOS STRIKE FORCE,PLAYSTATION,58.0,8.0
COMMANDOS STRIKE FORCE,XBOX,62.0,8.0
COMPANY OF CRIME,PC,66.0,
COMPANY OF HEROES,PC,93.0,8.7
COMPANY OF HEROES 2,PC,80.0,
COMPANY OF HEROES 2: ARDENNES ASSAULT,PC,81.0,6.3
COMPANY OF HEROES 2: THE BRITISH FORCES,PC,80.0,6.3
COMPANY OF HEROES 2: THE WESTERN FRONT ARMIES,PC,80.0,6.9
COMPANY OF HEROES 3,PC,80.0,
COMPANY OF HEROES: OPPOSING FRONTS,PC,87.0,8.5
COMPANY OF HEROES: TALES OF VALOR,PC,70.0,7.1
CONAN,PLAYSTATION,69.0,7.2
CONAN,XBOX,69.0,7.4
CONAN CHOP CHOP,PC,72.0,
CONAN EXILES,PC,68.0,6.5
CONAN EXILES,PLAYSTATION,68.0,5.2
CONAN EXILES,XBOX,64.0,5.3
CONAN UNCONQUERED,PC,62.0,5.1
CONARIUM,PC,71.0,6.2
CONARIUM,PLAYSTATION,65.0,5.3
CONARIUM,XBOX,70.0,5.8
CONCEPTION II: CHILDREN OF THE SEVEN STARS,DS,62.0,7.7
CONCEPTION II: CHILDREN OF THE SEVEN STARS,PLAYSTATION,62.0,7.1
CONCEPTION PLUS: MAIDENS OF THE TWELVE STARS,PLAYSTATION,62.0,
CONCRETE GENIE,PLAYSTATION,75.0,8.1
CONCURSION,PC,66.0,7.5
CONDEMNED 2: BLOODSHOT,PLAYSTATION,82.0,7.9
CONDEMNED 2: BLOODSHOT,XBOX,80.0,8.4
CONDEMNED: CRIMINAL ORIGINS,PC,78.0,7.7
CONDEMNED: CRIMINAL ORIGINS,XBOX,81.0,8.2
CONDUIT 2,WII,64.0,7.7
CONFIDENTIAL MISSION,AUTRE,70.0,8.2
CONFLICT ZONE,PC,59.0,5.3
CONFLICT ZONE,PLAYSTATION,,7.4
CONFLICT: DENIED OPS,PC,58.0,
CONFLICT: DENIED OPS,PLAYSTATION,51.0,
CONFLICT: DENIED OPS,XBOX,52.0,
CONFLICT: DESERT STORM,AUTRE,62.0,8.1
CONFLICT: DESERT STORM,PLAYSTATION,55.0,8.2
CONFLICT: DESERT STORM,XBOX,65.0,8.3
CONFLICT: DESERT STORM II - BACK TO BAGHDAD,AUTRE,73.0,8.5
CONFLICT: DESERT STORM II - BACK TO BAGHDAD,PC,65.0,7.5
CONFLICT: DESERT STORM II - BACK TO BAGHDAD,PLAYSTATION,70.0,8.3
CONFLICT: DESERT STORM II - BACK TO BAGHDAD,XBOX,71.0,7.0
CONFLICT: GLOBAL TERROR,PC,61.0,7.1
CONFLICT: GLOBAL TERROR,PLAYSTATION,62.0,8.6
CONFLICT: GLOBAL TERROR,XBOX,62.0,7.9
CONFLICT: VIETNAM,PC,55.0,7.0
CONFLICT: VIETNAM,PLAYSTATION,58.0,8.2
CONFLICT: VIETNAM,XBOX,60.0,7.5
CONFRONTATION,PC,51.0,5.0
CONGA MASTER PARTY!,SWITCH,71.0,6.4
CONGLOMERATE 451,PC,60.0,5.2
CONKER'S BAD FUR DAY,NINTENDO,92.0,9.0
CONKER: LIVE & RELOADED,XBOX,78.0,8.3
CONQUEST: FRONTIER WARS,PC,80.0,8.1
CONSORTIUM,PC,66.0,7.2
CONSPIRACIES,PC,53.0,
CONSTANTINE,PLAYSTATION,58.0,7.6
CONSTANTINE,XBOX,60.0,7.3
CONTACT,DS,73.0,8.2
CONTINUE?9876543210,PC,62.0,6.4
CONTRA,XBOX,63.0,5.2
CONTRA 4,DS,83.0,8.0
CONTRA ADVANCE: THE ALIEN WARS EX,GB,70.0,7.8
CONTRA ANNIVERSARY COLLECTION,PLAYSTATION,74.0,6.2
CONTRA ANNIVERSARY COLLECTION,SWITCH,81.0,7.0
CONTRA REBIRTH,WII,76.0,8.4
CONTRA: ROGUE CORPS,PLAYSTATION,52.0,
CONTRA: ROGUE CORPS,SWITCH,,
CONTRA: ROGUE CORPS,XBOX,56.0,
CONTRA: SHATTERED SOLDIER,PLAYSTATION,78.0,7.5
CONTRABAND POLICE,PC,75.0,7.1
CONTRACT J.A.C.K.,PC,56.0,5.8
CONTRAST,PC,62.0,7.6
CONTRAST,PLAYSTATION,59.0,6.4
CONTROL,PC,85.0,7.5
CONTROL,PLAYSTATION,82.0,7.4
CONTROL,XBOX,84.0,7.7
CONTROL: AWE,PC,73.0,7.2
CONTROL: AWE,PLAYSTATION,76.0,7.2
CONTROL: THE FOUNDATION,PC,77.0,6.8
CONTROL: THE FOUNDATION,PLAYSTATION,78.0,6.6
CONTROL: ULTIMATE EDITION,PLAYSTATION,85.0,8.0
CONTROL: ULTIMATE EDITION - CLOUD VERSION,SWITCH,72.0,5.8
CONVOY,PC,72.0,5.5
CONWAY: DISAPPEARANCE AT DAHLIA VIEW,PC,71.0,7.5
COOKIE & CREAM,DS,65.0,
COOKING MAMA,DS,67.0,7.4
COOKING MAMA 2: DINNER WITH FRIENDS,DS,70.0,8.2
COOKING MAMA 3: SHOP & CHOP,DS,65.0,6.3
COOKING MAMA 5: BON APPETIT!,DS,60.0,7.6
COOKING MAMA: COOK OFF,WII,61.0,5.7
COOKING MAMA: COOKSTAR,SWITCH,,6.7
COOKING MAMA: SWEET SHOP,DS,56.0,5.0
COOKING MAMA: WORLD KITCHEN,WII,62.0,
COOL BOARDERS 2001,PLAYSTATION,67.0,5.8
COPS 2170: THE POWER OF LAW,PC,,8.1
CORALINE,WII,,6.1
CORNERSTONE: THE SONG OF TYRIM,PC,58.0,6.9
COROMON,PC,73.0,7.8
COROMON,SWITCH,75.0,7.8
CORPSE OF DISCOVERY,PC,,
CORPSE PARTY,DS,77.0,7.7
CORPSE PARTY,PC,71.0,7.5
CORPSE PARTY,PLAYSTATION,71.0,8.1
CORPSE PARTY: BLOOD DRIVE,PLAYSTATION,60.0,7.9
CORPSE PARTY: BOOK OF SHADOWS,PLAYSTATION,67.0,8.5
CORRUPTION 2029,PC,64.0,6.0
CORTEX COMMAND,PC,,7.3
CORVETTE,PLAYSTATION,57.0,6.5
COSMIC STAR HEROINE,PC,77.0,7.1
COSMIC STAR HEROINE,PLAYSTATION,76.0,7.5
COSMIC STAR HEROINE,SWITCH,78.0,7.4
COSMOPHONY,WII,73.0,7.6
COSSACKS 3,PC,63.0,6.5
COSSACKS II: BATTLE FOR EUROPE,PC,69.0,8.4
COSSACKS II: NAPOLEONIC WARS,PC,73.0,7.0
COSSACKS: EUROPEAN WARS,PC,74.0,8.2
COSSACKS: THE ART OF WAR,PC,74.0,8.3
COSTUME QUEST,PLAYSTATION,77.0,8.0
COSTUME QUEST,XBOX,74.0,8.3
COSTUME QUEST 2,PC,68.0,7.3
COSTUME QUEST 2,PLAYSTATION,74.0,6.8
COTTON 100%,SWITCH,72.0,
COTTON FANTASY,PLAYSTATION,80.0,
COTTON FANTASY,SWITCH,78.0,7.7
COTTON REBOOT!,PLAYSTATION,70.0,
COTTON REBOOT!,SWITCH,81.0,7.6
COUNTER-STRIKE,PC,88.0,9.2
COUNTER-STRIKE,XBOX,74.0,7.6
COUNTER-STRIKE: CONDITION ZERO,PC,65.0,8.6
COUNTER-STRIKE: GLOBAL OFFENSIVE,PC,83.0,7.2
COUNTER-STRIKE: GLOBAL OFFENSIVE,PLAYSTATION,80.0,6.9
COUNTER-STRIKE: GLOBAL OFFENSIVE,XBOX,79.0,6.7
COUNTER-STRIKE: SOURCE,PC,88.0,8.9
COUNTERSPY,PLAYSTATION,67.0,6.7
COZY GROVE,PC,72.0,5.9
COZY GROVE,PLAYSTATION,71.0,5.2
COZY GROVE,SWITCH,71.0,7.3
CRACKDOWN,XBOX,83.0,7.8
CRACKDOWN 2,XBOX,70.0,6.0
CRACKDOWN 3,PC,54.0,
CRACKDOWN 3,XBOX,60.0,
CRADLE,PC,65.0,7.6
CRADLE OF ROME,DS,63.0,
CRANIUM KABOOKII,WII,64.0,5.4
CRASH 'N' BURN,PLAYSTATION,63.0,8.4
CRASH 'N' BURN,XBOX,65.0,6.4
CRASH BANDICOOT 2: N-TRANCED,GB,75.0,7.8
CRASH BANDICOOT 3: WARPED,PLAYSTATION,91.0,9.0
CRASH BANDICOOT 4: IT'S ABOUT TIME,PC,83.0,6.0
CRASH BANDICOOT 4: IT'S ABOUT TIME,PLAYSTATION,85.5,7.9
CRASH BANDICOOT 4: IT'S ABOUT TIME,SWITCH,80.0,7.9
CRASH BANDICOOT 4: IT'S ABOUT TIME,XBOX,83.0,8.3
CRASH BANDICOOT N. SANE TRILOGY,PC,76.0,8.1
CRASH BANDICOOT N. SANE TRILOGY,PLAYSTATION,80.0,8.4
CRASH BANDICOOT N. SANE TRILOGY,SWITCH,78.0,7.9
CRASH BANDICOOT N. SANE TRILOGY,XBOX,79.0,7.5
CRASH BANDICOOT PURPLE: RIPTO'S RAMPAGE,GB,67.0,6.2
CRASH BANDICOOT: THE HUGE ADVENTURE,GB,78.0,7.9
CRASH BANDICOOT: THE WRATH OF CORTEX,AUTRE,62.0,6.8
CRASH BANDICOOT: THE WRATH OF CORTEX,PLAYSTATION,66.0,7.3
CRASH BANDICOOT: THE WRATH OF CORTEX,XBOX,70.0,7.6
CRASH BASH,PLAYSTATION,68.0,8.0
CRASH BOOM BANG!,DS,,
CRASH COMMANDO,PLAYSTATION,78.0,8.1
CRASH DRIVE 3,SWITCH,68.0,7.0
CRASH NITRO KART,AUTRE,66.0,7.6
CRASH NITRO KART,PLAYSTATION,69.0,8.0
CRASH NITRO KART,XBOX,70.0,7.7
CRASH OF THE TITANS,DS,73.0,6.9
CRASH OF THE TITANS,PLAYSTATION,70.0,6.9
CRASH OF THE TITANS,WII,69.0,6.3
CRASH OF THE TITANS,XBOX,65.0,6.5
CRASH TAG TEAM RACING,AUTRE,66.0,7.0
CRASH TAG TEAM RACING,PLAYSTATION,67.0,7.5
CRASH TAG TEAM RACING,XBOX,69.0,7.7
CRASH TEAM RACING,PLAYSTATION,88.0,9.0
CRASH TEAM RACING: NITRO-FUELED,PLAYSTATION,83.0,6.9
CRASH TEAM RACING: NITRO-FUELED,SWITCH,80.0,6.4
CRASH TEAM RACING: NITRO-FUELED,XBOX,84.0,6.2
CRASH TIME: AUTOBAHN PURSUIT,XBOX,,7.5
CRASH TWINSANITY,PLAYSTATION,64.0,8.4
CRASH TWINSANITY,XBOX,66.0,8.3
CRASH: MIND OVER MUTANT,DS,,
CRASH: MIND OVER MUTANT,PLAYSTATION,73.0,6.7
CRASH: MIND OVER MUTANT,WII,70.0,6.3
CRASH: MIND OVER MUTANT,XBOX,60.0,6.3
CRASHDAY,PC,63.0,7.5
CRASHER,PC,55.0,6.0
CRASHLANDS,PC,78.0,7.5
CRASHMO,DS,86.0,8.2
CRAWL,XBOX,76.0,6.6
CRAYOLA TREASURE ADVENTURES,DS,65.0,
CRAYON PHYSICS DELUXE,PC,79.0,7.5
CRAZY MACHINES 2,PC,72.0,7.1
CRAZY MACHINES 3,PC,71.0,6.7
CRAZY MACHINES ELEMENTS,XBOX,55.0,
CRAZY TAXI,AUTRE,69.0,7.7
CRAZY TAXI,PLAYSTATION,70.0,7.550000000000001
CRAZY TAXI,XBOX,59.0,7.2
CRAZY TAXI 2,AUTRE,82.0,8.3
CRAZY TAXI 3: HIGH ROLLER,XBOX,69.0,8.0
CRAZY TAXI: CATCH A RIDE,GB,,5.8
CRAZY TAXI: FARE WARS,PLAYSTATION,64.0,7.0
CREAKS,PC,82.0,8.1
CREAKS,PLAYSTATION,83.0,7.1
CREATE,PC,54.0,5.7
CREATE,PLAYSTATION,61.0,5.1
CREATE,WII,62.0,7.8
CREATE,XBOX,60.0,5.8
CREATURE IN THE WELL,PLAYSTATION,81.0,6.7
CREATURE IN THE WELL,SWITCH,76.0,7.5
CREATURE IN THE WELL,XBOX,78.0,5.9
CREED: RISE TO GLORY,PLAYSTATION,73.0,6.2
CREEPY TALE,SWITCH,54.0,6.0
CRESCENT PALE MIST,PLAYSTATION,52.0,6.2
CRICKET 19,PLAYSTATION,73.0,7.8
CRIME BOSS: ROCKAY CITY,PC,52.0,5.1
CRIME CITIES,PC,71.0,8.0
CRIME LAB: BODY OF EVIDENCE,DS,53.0,
CRIME LIFE: GANG WARS,XBOX,,5.1
CRIME SCENE,DS,54.0,
CRIME STORIES: FROM THE FILES OF MARTIN MYSTERE,PC,,
CRIMECRAFT,PC,57.0,5.9
CRIMECRAFT: BLEEDOUT,PC,68.0,5.0
CRIMINAL GIRLS 2: PARTY FAVORS,PLAYSTATION,67.0,8.1
CRIMINAL GIRLS: INVITE ONLY,PLAYSTATION,55.0,6.8
CRIMSON ALLIANCE,XBOX,72.0,7.2
CRIMSON DRAGON,XBOX,55.0,6.5
CRIMSON GEM SAGA,PLAYSTATION,78.0,7.5
CRIMSON SEA,XBOX,78.0,8.2
CRIMSON SEA 2,PLAYSTATION,75.0,8.1
CRIMSON SHROUD,DS,76.0,7.8
CRIMSON SKIES,PC,83.0,7.7
CRIMSON SKIES: HIGH ROAD TO REVENGE,XBOX,88.0,8.8
CRIMSON TEARS,PLAYSTATION,62.0,8.0
CRIMSONLAND,PC,68.0,7.5
CRIMSONLAND,PLAYSTATION,64.0,6.2
CRIMSONLAND,SWITCH,61.0,6.2
CRIMSONLAND,XBOX,69.0,6.8
CRIS TALES,PC,74.0,7.9
CRIS TALES,PLAYSTATION,69.0,7.5
CRIS TALES,SWITCH,72.0,7.3
CRIS TALES,XBOX,79.0,7.5
CRISIS CORE: FINAL FANTASY VII,PLAYSTATION,83.0,7.8
CRISIS CORE: FINAL FANTASY VII REUNION,PC,83.0,8.0
CRISIS CORE: FINAL FANTASY VII REUNION,PLAYSTATION,78.0,8.0
CRISIS CORE: FINAL FANTASY VII REUNION,SWITCH,77.0,8.0
CRISIS CORE: FINAL FANTASY VII REUNION,XBOX,83.0,8.0
CRISIS ON THE PLANET OF THE APES VR,PLAYSTATION,,
CRITTER CRUNCH,PLAYSTATION,87.0,7.3
CRITTER ROUND-UP,WII,56.0,8.2
CROOKZ: THE BIG HEIST,PC,74.0,7.1
CROSS EDGE,PLAYSTATION,52.0,6.4
CROSS OF THE DUTCHMAN,PC,59.0,6.8
CROSS RACING CHAMPIONSHIP 2005,PC,77.0,7.0
CROSSCODE,PC,86.0,8.3
CROSSCODE,PLAYSTATION,81.0,7.3
CROSSCODE,SWITCH,82.0,7.7
CROSSFIRE: LEGION,PC,62.0,
CROSSFIREX,XBOX,,
CROSSING SOULS,PC,70.0,6.8
CROSSING SOULS,PLAYSTATION,75.0,6.7
CROSSING SOULS,SWITCH,67.0,6.4
CROSSROADS INN,PC,59.0,6.5
CROSSWORDS,DS,67.0,7.3
"CROUCHING TIGER, HIDDEN DRAGON",GB,60.0,
"CROUCHING TIGER, HIDDEN DRAGON",PLAYSTATION,,
"CROUCHING TIGER, HIDDEN DRAGON",XBOX,52.0,
CROWN TRICK,PC,83.0,7.7
CROWN TRICK,SWITCH,80.0,7.7
CROWNS AND PAWNS: KINGDOM OF DECEIT,PC,78.0,8.3
CRUCIBLE,PC,56.0,
CRUIS'N,WII,,
CRUIS'N  EXOTICA,NINTENDO,,7.2
CRUIS'N BLAST,SWITCH,70.0,8.0
CRUIS'N VELOCITY,GB,53.0,6.8
CRUSADER KINGS,PC,73.0,7.4
CRUSADER KINGS II,PC,82.0,8.7
CRUSADER KINGS II: SONS OF ABRAHAM,PC,77.0,7.7
CRUSADER KINGS II: THE OLD GODS,PC,88.0,8.7
CRUSADER KINGS III,PC,91.0,8.4
CRUSADER KINGS III,PLAYSTATION,85.0,6.6
CRUSADER KINGS III,XBOX,83.0,6.2
CRUSADER KINGS III: THE ROYAL COURT,PC,83.0,5.4
CRUSH,PLAYSTATION,83.0,8.2
CRUSH YOUR ENEMIES,PC,63.0,6.4
CRUSH3D,DS,71.0,7.4
CRUSTY DEMONS,XBOX,51.0,6.0
CRYING SUNS,PC,75.0,7.6
CRYOSTASIS: THE SLEEP OF REASON,PC,69.0,7.6
CRYPT OF THE NECRODANCER,PC,87.0,7.8
CRYPT OF THE NECRODANCER,PLAYSTATION,85.0,6.6
CRYPT OF THE NECRODANCER: NINTENDO SWITCH EDITION,SWITCH,86.0,7.1
CRYSIS,PC,91.0,8.1
CRYSIS,PLAYSTATION,81.0,7.4
CRYSIS,XBOX,81.0,7.7
CRYSIS 2,PC,86.0,7.0
CRYSIS 2,PLAYSTATION,85.0,7.4
CRYSIS 2,XBOX,84.0,7.7
CRYSIS 3,PC,76.0,6.8
CRYSIS 3,PLAYSTATION,77.0,6.7
CRYSIS 3,XBOX,76.0,7.0
CRYSIS REMASTERED,PC,69.0,
CRYSIS REMASTERED,PLAYSTATION,59.0,
CRYSIS REMASTERED,SWITCH,66.0,8.3
CRYSIS REMASTERED,XBOX,59.0,5.9
CRYSIS REMASTERED TRILOGY,PC,79.0,8.0
CRYSIS REMASTERED TRILOGY,PLAYSTATION,73.0,7.8
CRYSIS REMASTERED TRILOGY,SWITCH,75.0,7.8
CRYSIS REMASTERED TRILOGY,XBOX,81.0,8.1
CRYSIS WARHEAD,PC,84.0,7.9
CRYSTAL CRISIS,SWITCH,79.0,7.5
CRYSTAL DEFENDERS,XBOX,52.0,6.1
CRYSTAL DEFENDERS R1,WII,62.0,
CRYSTAL KEY 2: THE FAR REALM,PC,59.0,
CRYSTAL QUEST,XBOX,64.0,7.6
CRYSTAL RIFT,PLAYSTATION,,6.6
CRYSTAR,PLAYSTATION,67.0,9.6
CRYSTAR,SWITCH,66.0,7.8
CSI: CRIME SCENE INVESTIGATION,PC,61.0,6.8
CSI: CRIME SCENE INVESTIGATION,XBOX,,7.3
CSI: CRIME SCENE INVESTIGATION: 3 DIMENSIONS OF MURDER,PC,67.0,7.4
CSI: CRIME SCENE INVESTIGATION: DARK MOTIVES,PC,65.0,8.4
CSI: CRIME SCENE INVESTIGATION: DEADLY INTENT,XBOX,51.0,5.7
CSI: CRIME SCENE INVESTIGATION: FATAL CONSPIRACY,XBOX,,
CSI: CRIME SCENE INVESTIGATION: HARD EVIDENCE,PC,63.0,6.3
CSI: CRIME SCENE INVESTIGATION: HARD EVIDENCE,WII,,6.5
CSI: CRIME SCENE INVESTIGATION: HARD EVIDENCE,XBOX,,5.6
CSI: MIAMI,PC,54.0,6.7
CSI: NY,PC,53.0,
CT SPECIAL FORCES,GB,71.0,
CT SPECIAL FORCES 2: BACK IN THE TRENCHES,GB,76.0,8.5
CUBAN MISSILE CRISIS: THE AFTERMATH,PC,59.0,7.3
CUBE,PLAYSTATION,60.0,
CUBE LIFE: ISLAND SURVIVAL,WII,55.0,7.3
CUBE TACTICS,DS,62.0,
CUBEMEN 2,WII,63.0,7.5
CUBIC NINJA,DS,51.0,5.9
CUBIVORE: SURVIVAL OF THE FITTEST,AUTRE,71.0,8.1
CUBIXX HD,PLAYSTATION,70.0,6.5
CUBOID,PLAYSTATION,79.0,7.6
CULDCEPT,PLAYSTATION,78.0,8.2
CULDCEPT REVOLT,DS,74.0,7.6
CULDCEPT SAGA,XBOX,75.0,8.5
CULPA INNATA,PC,66.0,7.7
CULT OF THE LAMB,PC,82.0,7.8
CULT OF THE LAMB,PLAYSTATION,86.0,6.5
CULT OF THE LAMB,SWITCH,79.0,5.5
CULTIC,PC,79.0,7.4
CULTIST SIMULATOR,PC,71.0,7.0
CULTIST SIMULATOR: INITIATE EDITION,SWITCH,64.0,
CULTURES 2: THE GATES OF ASGARD,PC,72.0,7.6
CUPHEAD,PC,88.0,8.3
CUPHEAD,PLAYSTATION,86.0,8.4
CUPHEAD,SWITCH,87.0,8.4
CUPHEAD,XBOX,86.0,8.4
CUPHEAD IN THE DELICIOUS LAST COURSE,PC,89.0,8.3
CUPHEAD IN THE DELICIOUS LAST COURSE,PLAYSTATION,86.0,8.1
CUPHEAD IN THE DELICIOUS LAST COURSE,SWITCH,88.0,8.3
CUPHEAD IN THE DELICIOUS LAST COURSE,XBOX,92.0,8.4
CUPID PARASITE,SWITCH,83.0,6.3
CURIOUS EXPEDITION,SWITCH,68.0,7.2
CURIOUS EXPEDITION 2,PC,76.0,6.1
CURIOUS EXPEDITION 2,SWITCH,69.0,
CURIOUS GEORGE,PLAYSTATION,53.0,7.7
CURIOUS GEORGE,XBOX,57.0,
CURSE OF THE DEAD GODS,PC,78.0,7.3
CURSE OF THE DEAD GODS,PLAYSTATION,79.0,7.1
CURSE OF THE DEAD GODS,SWITCH,78.0,7.8
CURSE OF THE SEA RATS,PLAYSTATION,63.0,
CURSE OF THE SEA RATS,SWITCH,59.0,
CURSE: THE EYE OF ISIS,PC,63.0,7.5
CURSE: THE EYE OF ISIS,XBOX,59.0,6.8
CURSED MOUNTAIN,WII,67.0,7.6
CURSED TO GOLF,PC,80.0,
CURSED TO GOLF,PLAYSTATION,74.0,
CURSED TO GOLF,SWITCH,75.0,7.3
CURVED SPACE,PLAYSTATION,59.0,6.0
CUSTOM ROBO,AUTRE,65.0,8.1
CUSTOM ROBO ARENA,DS,74.0,8.3
CY GIRLS,PLAYSTATION,53.0,7.0
CYANIDE & HAPPINESS - FREAKPOCALYPSE,PC,60.0,6.4
CYANIDE & HAPPINESS - FREAKPOCALYPSE,SWITCH,65.0,
CYBER SHADOW,PC,82.0,7.2
CYBER SHADOW,PLAYSTATION,77.5,6.85
CYBER SHADOW,SWITCH,82.0,7.5
CYBER SHADOW,XBOX,81.0,7.4
CYBERBALL 2072,XBOX,,8.1
CYBERDIMENSION NEPTUNIA: 4 GODDESSES ONLINE,PLAYSTATION,71.0,7.0
CYBERPUNK 2077,PC,86.0,7.0
CYBERPUNK 2077,PLAYSTATION,66.0,7.1
CYBERPUNK 2077,XBOX,61.0,5.0
CYCLE 28,SWITCH,69.0,
CYTUS ALPHA,SWITCH,81.0,7.5
D-DAY,PC,56.0,6.9
D1 PROFESSIONAL DRIFT GRAND PRIX SERIES,PLAYSTATION,,7.4
D2,AUTRE,69.0,8.0
D4: DARK DREAMS DON'T DIE,PC,67.0,7.0
D4: DARK DREAMS DON'T DIE,XBOX,76.0,7.2
DA NEW GUYS: DAY OF THE JACKASS,PC,56.0,5.8
DAEMON X MACHINA,PC,72.0,6.9
DAEMON X MACHINA,SWITCH,69.0,7.6
DAEMONICA,PC,65.0,7.7
DAI SENRYAKU VII: MODERN MILITARY TACTICS,XBOX,74.0,7.9
DAKAR 18,PC,59.0,6.0
DAKAR 18,PLAYSTATION,53.0,5.5
DAKAR 18,XBOX,54.0,6.8
DAKAR DESERT RALLY,PLAYSTATION,69.0,6.8
DAKAR DESERT RALLY,XBOX,67.0,
DAMAGE INC.: PACIFIC SQUADRON WWII,XBOX,,5.5
DAMASCUS GEAR: OPERATION TOKYO,PLAYSTATION,59.0,6.7
DAMNATION,PC,,
DAMNATION,PLAYSTATION,,
DAMNATION,XBOX,,5.3
DAMSEL,XBOX,66.0,
DANCE CENTRAL,XBOX,82.0,8.0
DANCE CENTRAL 2,XBOX,86.0,8.2
DANCE CENTRAL 3,XBOX,86.0,7.8
DANCE CENTRAL SPOTLIGHT,XBOX,74.0,6.8
DANCE DANCE REVOLUTION,PLAYSTATION,90.0,8.4
DANCE DANCE REVOLUTION DISNEY MIX,PLAYSTATION,74.0,8.2
DANCE DANCE REVOLUTION EXTREME,PLAYSTATION,77.0,8.5
DANCE DANCE REVOLUTION EXTREME 2,PLAYSTATION,76.0,8.8
DANCE DANCE REVOLUTION HOTTEST PARTY,WII,73.0,6.9
DANCE DANCE REVOLUTION KONAMIX,PLAYSTATION,84.0,8.7
DANCE DANCE REVOLUTION SUPERNOVA,PLAYSTATION,73.0,8.0
DANCE DANCE REVOLUTION SUPERNOVA 2,PLAYSTATION,70.0,8.8
DANCE DANCE REVOLUTION ULTRAMIX,XBOX,82.0,8.0
DANCE DANCE REVOLUTION ULTRAMIX 2,XBOX,78.0,7.1
DANCE DANCE REVOLUTION ULTRAMIX 3,XBOX,75.0,8.6
DANCE DANCE REVOLUTION UNIVERSE,XBOX,74.0,8.0
DANCE DANCE REVOLUTION UNIVERSE 2,XBOX,65.0,7.4
DANCE DANCE REVOLUTION: DISNEY CHANNEL EDITION,PLAYSTATION,61.0,
DANCE DANCE REVOLUTION: HOTTEST PARTY 2,WII,69.0,6.8
DANCE DANCE REVOLUTION: MARIO MIX,AUTRE,69.0,8.1
DANCE FACTORY,PLAYSTATION,56.0,6.1
DANCE OF DEATH: DU LAC & FEY,PC,51.0,
DANCE PARADISE,XBOX,59.0,
DANCEMASTERS,XBOX,63.0,6.4
DANCESTAR PARTY HITS,PLAYSTATION,68.0,
DANDARA,PC,70.0,7.9
DANDARA,SWITCH,73.0,7.4
DANDY ACE,PC,80.0,7.9
DANDY DUNGEON: LEGEND OF BRAVE YAMADA,SWITCH,78.0,7.7
DANGANRONPA 1-2 RELOAD,PLAYSTATION,83.0,8.4
DANGANRONPA 2: GOODBYE DESPAIR,PLAYSTATION,81.0,8.8
DANGANRONPA ANOTHER EPISODE: ULTRA DESPAIR GIRLS,PLAYSTATION,69.5,7.5
DANGANRONPA DECADENCE,SWITCH,83.0,8.1
DANGANRONPA S: ULTIMATE SUMMER CAMP,SWITCH,54.0,5.6
DANGANRONPA V3: KILLING HARMONY,PLAYSTATION,80.5,7.3
DANGANRONPA: TRIGGER HAPPY HAVOC,PC,82.0,8.6
DANGANRONPA: TRIGGER HAPPY HAVOC,PLAYSTATION,80.0,8.8
DANGER GIRL,PLAYSTATION,,5.7
DANGER ZONE,PC,64.0,
DANGER ZONE,PLAYSTATION,64.0,5.9
DANGER ZONE,XBOX,64.0,5.0
DANGER ZONE 2,PLAYSTATION,68.0,5.0
DANGER ZONE 2,XBOX,69.0,6.0
DANGEROUS DRIVING,PLAYSTATION,62.0,
DANGEROUS DRIVING,XBOX,65.0,5.0
DANGEROUS GOLF,PC,54.0,
DANGEROUS GOLF,PLAYSTATION,56.0,5.0
DANGEROUS GOLF,XBOX,63.0,
DANGEROUS WATERS,PC,82.0,8.5
DANMAKU UNLIMITED 3,SWITCH,84.0,8.1
DANTE'S INFERNO,PLAYSTATION,72.5,7.949999999999999
